id_listing_anon,room_type,listing_neighborhood,total_reviews
71582793-e5f8-46d7-afdf-7a31d2341c79,Private room,-unknown-,0.0
a1a3f728-e21f-4432-96aa-361d28e2b319,Entire home/apt,Copacabana,0.0
353a68be-ecf9-4b7b-9533-c882dc2f0760,Entire home/apt,Barra da Tijuca,3.0
b9ae1908-0486-40ac-bbcf-bd63ffebfe63,Entire home/apt,Lapa,4.0
fa0290ef-7881-4482-8981-8ebb1ce5dbfd,Entire home/apt,-unknown-,0.0
de5d9314-dc14-4b84-b1f2-f43018565731,Entire home/apt,-unknown-,0.0
251144a0-fcb3-4897-9e82-a48f4e2ceecd,Private room,-unknown-,1.0
8ce7370f-def3-4ee9-890f-db455800bfe8,Entire home/apt,-unknown-,0.0
f8627adb-4b56-4f04-8259-2647f45fef20,Entire home/apt,Ipanema,0.0
458a9e0a-1921-4567-b848-b9437d56a07a,Entire home/apt,-unknown-,3.0
727d4395-a805-46f1-becd-330973434ea7,Entire home/apt,Copacabana,16.0
2aa5e646-da1d-4701-a2a3-bbab52e265d3,Private room,Botafogo,12.0
ae982e5b-4dfa-4ba4-b0a3-07af2d2887b6,Shared room,-unknown-,0.0
5c09db78-180d-4858-b15b-8fdb6af4443b,Entire home/apt,Copacabana,0.0
684d3e60-e9ad-41d9-b801-5cf11926ec24,Entire home/apt,-unknown-,0.0
025a2f36-7f9d-43a9-8735-4543f61cfc42,Entire home/apt,-unknown-,4.0
bc0ac20a-d2cc-4f0e-a4fe-c2532d219d28,Entire home/apt,-unknown-,0.0
e9ca5d9d-2e28-4509-98db-5bbe9f9015fd,Entire home/apt,-unknown-,2.0
dfc214ba-97d7-4e5d-a41e-617f9bdcb562,Entire home/apt,-unknown-,0.0
3a4dba75-84d8-4374-b4ef-6abfaf9133b9,Entire home/apt,-unknown-,5.0
9d49d41f-93e6-4972-8cb0-c306b7da2488,Entire home/apt,-unknown-,0.0
36e45546-388f-4335-a8db-20c471a0553b,Private room,-unknown-,2.0
bbeb669f-da4d-4c49-bfac-4569dc068ef5,Entire home/apt,Copacabana,8.0
fae72d2d-c40f-4f41-9620-5b89b0b09a9a,Entire home/apt,Barra da Tijuca,0.0
dc37ee87-b6e7-46ec-b9e1-418f9b9b13ac,Entire home/apt,Copacabana,2.0
6a835474-6969-4fb8-8f0d-507a3f45d9fa,Private room,-unknown-,41.0
ad7d7934-2fb9-4781-9505-5f1023ed9efb,Entire home/apt,-unknown-,0.0
cca0b5cb-3941-413d-b4d5-1da60c8adaee,Private room,-unknown-,0.0
40a705f8-6a98-40b1-b37d-a349796aefa0,Entire home/apt,Recreio dos Bandeirantes,0.0
8010df55-0122-401d-9189-09b85c2e16d6,Entire home/apt,Ipanema,11.0
989f0d11-d814-470e-84c6-395f9e55a239,Entire home/apt,Ipanema,0.0
ed7ea970-1fb6-469e-b4a2-39aaf2db61cf,Entire home/apt,Copacabana,0.0
e89c8857-0f00-4cbe-a52a-30e1cb39b8cb,Private room,Copacabana,2.0
8a048e0c-98eb-4c22-8d49-f41583f83146,Private room,Ipanema,47.0
7b6e7a98-b258-4739-af44-3832d65f5a0e,Private room,Ipanema,5.0
23f3dbea-25c7-443a-816f-f13d246d877c,Entire home/apt,-unknown-,0.0
9f25ab99-5147-48c8-a8a1-2ae7cc27def0,Entire home/apt,Leblon,0.0
c8281b0b-00b0-482a-ac97-beecba2eb66a,Entire home/apt,-unknown-,0.0
33aa3b6b-55a5-44b3-a1ef-afb79de67857,Entire home/apt,Ipanema,0.0
034bab23-7d31-4506-8629-8a24adb7b877,Entire home/apt,-unknown-,0.0
e2008151-675c-4d01-a626-6daa46058ae9,Private room,-unknown-,5.0
f1b608f4-8a4a-4a97-9193-9f8d2418b1bf,Entire home/apt,-unknown-,0.0
a57e3879-aa71-4cef-85dc-91a974736baa,Entire home/apt,Botafogo,4.0
46909692-7c1f-49a8-ab23-71eb73170c10,Entire home/apt,Barra da Tijuca,0.0
18cdda90-af27-4670-b769-daedd219367d,Entire home/apt,-unknown-,6.0
57570336-470f-4756-b982-4ddd44d1bfe2,Entire home/apt,Leblon,5.0
