time_offset,speed,roadvel,bodyacc,yaw_rate
59.946,0,-0.0575,-0.08,0.003
59.955,0,-0.0575,0.0199,0.003
59.965,0,-0.0575,-0.0399,0.001
59.975,0,-0.0575,-0.0999,0.002
59.985,0,-0.0575,-0.0199,0.002
59.994,0,-0.0575,-0.0199,0.002
60.003,0,-0.0575,0.06,0.001
60.013,0,-0.0575,-0.0199,0.001
60.022,0,-0.0575,-0.0399,0.003
60.032,0,-0.0575,0.04,0.003
60.041,0,-0.0575,0.04,0.003
60.05,0,-0.0575,0,0.002
60.06,0,-0.0575,-0.0399,0.002
60.069,0,-0.0575,0.08,0.002
60.079,0,-0.0575,0.06,0.002
60.089,0,-0.0575,-0.0199,0.002
60.098,0,-0.0575,-0.0199,0.002
60.108,0,-0.0575,-0.06,0.001
60.117,0,-0.0575,-0.0199,0.002
60.126,0,-0.0575,-0.0199,0.002
60.137,0,-0.0575,0.04,0.001
60.146,0,-0.0575,0.04,0.001
60.156,0,-0.0575,-0.06,0.001
60.165,0,-0.0575,-0.0199,0
60.174,0,-0.0575,0.04,0.001
60.184,0,-0.0575,-0.06,0.001
60.193,0,-0.0575,-0.06,0.001
60.202,0,-0.0575,-0.08,0.001
60.212,0,-0.0575,0.04,0.001
60.222,0,-0.0575,0.04,0.003
60.232,0,-0.0575,-0.06,0.003
60.241,0,-0.0575,-0.06,0.003
60.251,0,-0.0575,-0.06,0.002
60.26,0,-0.0575,0.0199,0.002
60.269,0,-0.0575,-0.0199,0.002
60.279,0,-0.0575,-0.06,0.001
60.288,0,-0.0575,-0.0199,0.001
60.297,0,-0.0575,-0.0199,0.001
60.307,0,-0.0575,0.0199,0.002
60.317,0,-0.0575,0.0199,0.002
60.327,0,-0.0575,-0.06,0.002
60.337,0,-0.0575,0,0.001
60.346,0,-0.0575,0,0.001
60.355,0,-0.0575,0.06,0.001
60.365,0,-0.0575,-0.0399,0.001
60.375,0,-0.0575,-0.0999,0.002
60.384,0,-0.0575,-0.0399,0.002
60.394,0,-0.0575,-0.0399,0.002
60.403,0,-0.0575,0.06,0.001
60.413,0,-0.0575,-0.0399,0.001
60.422,0,-0.0575,-0.0199,0.001
60.433,0,-0.0575,0.04,0.001
60.442,0,-0.0575,0.0199,0.001
