order_request_id,driver_id,completed_day_id,completed_time
0,266,1.0,01:11:14.633000
1,423,1.0,01:24:24.227000
2,3070,1.0,01:13:31.654000
3,4074,1.0,01:46:58.043000
4,1868,1.0,02:04:15.526000
5,4369,1.0,01:57:36.295000
7,1868,1.0,03:52:30.154000
8,2283,1.0,03:52:24.505000
9,4369,1.0,03:52:35.741000
11,3335,1.0,05:07:16.372000
12,2979,1.0,04:39:52.963000
14,2231,1.0,08:36:43.480000
15,3692,1.0,07:13:34.516000
16,4654,1.0,07:30:16.400000
17,2160,1.0,08:09:53.317000
18,2883,1.0,08:17:35.070000
19,1540,1.0,08:44:28.046000
21,2583,1.0,08:04:09.177000
22,1327,1.0,08:36:06.596000
23,2748,1.0,08:33:42.052000
24,1447,1.0,08:41:25.614000
25,3545,1.0,08:51:44.872000
26,2325,1.0,08:54:53.913000
27,3878,1.0,09:08:56.225000
28,283,1.0,08:49:10.181000
29,288,1.0,08:58:06.836000
31,3947,1.0,08:59:32.834000
32,2759,1.0,09:35:27.744000
33,4221,1.0,09:04:07.483000
34,2654,1.0,09:49:37.491000
35,3315,1.0,08:54:05.617000
36,595,1.0,09:11:46.899000
37,2741,1.0,09:52:06.142000
38,34,1.0,08:58:17.012000
40,1094,1.0,09:37:26.970000
41,4039,1.0,09:08:39.751000
42,2960,1.0,09:01:37.418000
43,1540,1.0,09:27:17.110000
44,1968,1.0,09:07:08.703000
45,2514,1.0,09:21:33.436000
46,3315,1.0,09:33:47.540000
47,2790,1.0,09:42:22.296000
48,4637,1.0,09:47:12.249000
49,3431,1.0,10:48:57.347000
50,2883,1.0,09:44:21.966000
51,2330,1.0,09:14:14.248000
52,3875,1.0,09:53:01.281000
53,1391,1.0,09:55:04.367000
54,401,1.0,09:56:26.645000
56,1671,1.0,09:55:16.440000
57,113,1.0,10:11:37.187000
58,2391,1.0,10:06:43.951000
59,2583,1.0,10:17:08.829000
60,2356,1.0,09:51:53.398000
61,4883,1.0,11:47:19.802000
62,2258,1.0,10:33:08.341000
63,2600,1.0,09:47:51.785000
64,4698,1.0,10:11:37.884000
65,150,1.0,10:28:06.802000
66,4494,1.0,10:46:29.158000
68,3399,1.0,15:23:10.984000
69,3798,1.0,10:21:34.090000
70,4856,1.0,10:16:56.793000
71,2643,1.0,10:26:09.071000
72,4028,1.0,10:17:21.810000
73,2768,1.0,10:17:36.870000
74,3581,1.0,17:01:23.270000
75,4612,1.0,11:11:26.232000
78,509,1.0,10:19:32.776000
79,3427,1.0,11:21:39.820000
80,3968,1.0,18:52:13.253000
81,3581,1.0,10:56:42.406000
82,4764,1.0,11:20:53.168000
83,636,1.0,10:42:59.288000
84,3418,1.0,11:03:00.856000
85,4678,1.0,10:46:00.479000
86,2600,1.0,11:05:02.781000
87,3740,1.0,11:18:33.419000
88,4298,1.0,11:10:25.375000
89,287,1.0,11:23:50.992000
90,312,1.0,10:56:15.804000
91,3113,1.0,16:20:43.967000
92,1272,1.0,11:45:13.025000
93,1747,1.0,12:15:07.584000
94,1793,1.0,12:02:23.558000
95,1406,1.0,10:44:50.288000
96,1514,1.0,12:01:10.523000
97,1930,1.0,11:34:39.125000
98,2421,1.0,11:15:27.694000
99,2687,1.0,11:25:07
100,3068,1.0,11:15:59.157000
101,4258,1.0,11:07:36.306000
102,1157,1.0,11:57:46.654000
103,1684,1.0,11:06:00.042000
104,2521,1.0,11:05:13.831000
105,1850,1.0,11:49:25.367000
106,3709,1.0,11:24:07.336000
107,4671,1.0,11:47:57.827000
108,150,1.0,11:13:09.624000
109,1618,1.0,11:27:40.771000
110,2789,1.0,12:01:00.822000
111,4389,1.0,11:44:13.849000
112,1413,1.0,12:23:55.514000
113,4327,1.0,14:57:30.832000
115,4903,1.0,11:55:42.915000
116,238,1.0,11:44:38.774000
117,3816,1.0,11:56:50.109000
118,2105,1.0,11:53:21.462000
119,2514,1.0,12:07:49.801000
120,4010,1.0,12:45:01.263000
121,1677,1.0,12:38:31.538000
122,3068,1.0,12:09:26.200000
123,4967,1.0,12:16:00.036000
124,4904,1.0,12:28:05.427000
125,616,1.0,11:58:05.639000
128,4510,1.0,12:37:35.891000
129,4305,1.0,12:10:41.915000
131,1720,1.0,12:33:10.479000
132,147,1.0,14:58:15.317000
133,3774,1.0,15:58:25.063000
134,312,1.0,12:03:54.285000
135,510,1.0,12:11:28.137000
136,753,1.0,12:34:55.265000
137,2243,1.0,12:27:56.404000
138,2462,1.0,12:25:24.928000
139,706,1.0,13:31:03.015000
140,3874,1.0,12:41:28.743000
141,941,1.0,12:39:15.921000
142,243,1.0,12:42:34.061000
143,4211,1.0,12:32:07.197000
144,2981,1.0,12:44:13.813000
145,4656,1.0,12:30:02.796000
146,2549,1.0,13:03:03.324000
147,3280,1.0,13:52:41.818000
148,3748,1.0,12:35:37.197000
149,859,1.0,13:52:15.740000
150,355,1.0,12:44:13.531000
151,1724,1.0,14:10:14.075000
152,3653,1.0,12:53:01.220000
153,4466,1.0,13:00:49.291000
154,1705,1.0,13:12:56.452000
155,1476,1.0,12:57:01.074000
156,877,1.0,13:10:21.744000
157,4054,1.0,12:34:29.270000
158,2684,1.0,12:37:16.814000
159,4089,1.0,13:18:29.447000
160,2758,1.0,16:26:59.934000
161,3366,1.0,12:55:37.735000
162,899,1.0,12:55:23.861000
163,1406,1.0,13:02:36.636000
164,718,1.0,12:55:01.291000
165,362,1.0,14:03:42.108000
166,438,1.0,14:07:02.575000
167,2268,1.0,13:15:52.897000
168,4644,1.0,13:42:49.625000
169,4054,1.0,13:45:37.754000
170,4772,1.0,13:32:43.609000
171,3338,1.0,13:45:18.026000
172,4770,1.0,13:02:57.301000
173,164,1.0,13:05:38.795000
174,4466,1.0,13:45:22.399000
175,2525,1.0,14:11:47.617000
176,41,1.0,15:24:49.611000
178,1384,1.0,13:30:25.956000
179,435,1.0,13:26:21.871000
180,357,1.0,13:51:59.978000
181,365,1.0,13:51:55.601000
182,1763,1.0,13:48:34.497000
184,3310,1.0,13:12:47.405000
185,4693,1.0,14:17:07.445000
186,3398,1.0,14:01:07.199000
187,2981,1.0,13:37:59.573000
188,3653,1.0,13:38:52.063000
189,2041,1.0,13:58:01.943000
190,753,1.0,13:07:53.168000
191,150,1.0,13:49:52.785000
192,1917,1.0,13:32:34.809000
193,360,1.0,13:37:12.950000
194,4486,1.0,13:48:02.975000
195,4903,1.0,13:36:08.996000
196,913,1.0,14:16:31.457000
197,2817,1.0,14:21:01.332000
198,4126,1.0,14:07:38.309000
199,4880,1.0,13:43:02.088000
200,2032,1.0,14:25:50.523000
201,7,1.0,13:55:22.537000
202,4055,1.0,13:42:07.260000
203,4250,1.0,13:55:29.798000
204,3708,1.0,13:53:02.695000
205,223,1.0,13:56:36.516000
206,3318,1.0,13:39:01.427000
207,2353,1.0,14:36:59.951000
208,1353,1.0,13:38:48.767000
210,4802,1.0,14:11:06.655000
211,3937,1.0,13:51:24.668000
212,1979,1.0,13:58:13.936000
213,788,1.0,14:09:15.607000
214,1384,1.0,13:56:42.196000
215,156,1.0,13:58:08.259000
216,4377,1.0,14:35:58.924000
217,928,1.0,14:01:26.308000
218,4866,1.0,14:09:32.991000
219,3586,1.0,14:13:42.646000
220,1560,1.0,14:08:59.608000
221,1034,2.0,11:08:32.645000
222,131,1.0,13:52:10.421000
223,734,1.0,13:48:28.425000
224,3748,1.0,13:59:25.708000
225,2458,1.0,13:52:51.313000
226,3368,1.0,14:18:25.870000
227,3510,1.0,14:06:16.569000
228,362,1.0,15:37:05.884000
229,4817,1.0,14:06:43.569000
230,4561,1.0,13:58:50.526000
231,3113,1.0,14:15:33.222000
232,1319,1.0,14:02:18.155000
233,4294,1.0,14:07:15.076000
234,4226,1.0,13:56:18.268000
235,2589,1.0,14:07:01.220000
236,3447,1.0,14:09:16.149000
237,2960,1.0,14:45:42.821000
238,4898,1.0,15:02:48.768000
239,4221,1.0,14:23:10.014000
240,2952,1.0,13:54:25.175000
241,1724,1.0,14:06:31.748000
242,4085,1.0,14:55:09.867000
243,3068,1.0,14:33:54.593000
244,3505,1.0,14:19:57.507000
245,2047,1.0,14:30:43.474000
246,4835,1.0,14:41:19.103000
247,1823,1.0,14:20:20.646000
248,4118,1.0,15:17:14.266000
249,3915,1.0,14:11:32.466000
250,1319,1.0,14:27:56.061000
251,4075,1.0,21:46:18.066000
252,3623,1.0,15:00:04.099000
254,3981,1.0,14:51:15.323000
255,4813,1.0,14:42:20.057000
256,2691,1.0,14:30:20.123000
257,4637,1.0,15:28:12.995000
258,2703,1.0,15:15:40.078000
260,4911,1.0,15:56:21.089000
261,3043,1.0,15:03:25.448000
262,4466,1.0,14:43:44.001000
263,1745,1.0,15:00:37.114000
264,453,1.0,14:35:03.015000
265,2257,1.0,15:15:08.907000
266,131,1.0,14:58:35.012000
267,2104,1.0,15:45:20.344000
268,2465,1.0,15:03:04.465000
269,4498,1.0,15:05:49.343000
271,4349,1.0,15:39:02.531000
272,4710,1.0,15:27:42.820000
273,3418,1.0,15:23:40.866000
274,4590,1.0,15:08:31.865000
275,1718,1.0,15:21:04.169000
276,2959,1.0,15:19:43.463000
277,4116,1.0,14:57:28.428000
278,4418,1.0,15:41:04.640000
279,1009,1.0,15:37:02.342000
281,365,1.0,15:56:04.294000
282,2557,1.0,15:40:34.709000
283,4656,1.0,15:56:04.014000
284,3798,1.0,16:22:53.040000
285,4772,1.0,15:44:14.751000
287,4698,1.0,15:31:15.397000
288,3742,3.0,09:47:16.021000
289,3403,1.0,15:59:04.841000
290,3987,1.0,15:29:33.585000
291,4733,1.0,15:12:02.631000
292,1560,1.0,15:25:09.899000
293,4118,1.0,15:45:20.950000
294,628,1.0,15:54:00.822000
295,4477,1.0,15:30:21.363000
296,2684,1.0,15:39:07.342000
297,4634,1.0,17:36:12.584000
298,2,1.0,15:24:14.403000
299,3036,1.0,16:19:21.994000
300,333,1.0,15:59:54.170000
301,1447,1.0,15:36:33.194000
302,4480,1.0,15:47:29.021000
303,132,1.0,16:26:45.295000
304,1208,1.0,16:05:01.010000
307,2566,1.0,16:45:58.666000
308,4532,1.0,16:02:19.859000
309,4140,1.0,16:13:39.559000
310,3977,1.0,16:05:41.450000
311,3981,1.0,15:48:42.807000
312,3433,1.0,15:42:33.134000
314,3593,1.0,16:06:43.124000
315,4369,1.0,15:43:59.913000
316,2765,1.0,15:51:18.671000
318,1091,1.0,16:04:18.441000
319,41,1.0,16:33:22.481000
320,697,1.0,16:52:36.584000
321,1476,1.0,15:56:12.756000
322,4911,1.0,16:18:28.459000
323,2421,1.0,15:54:14.695000
325,3093,1.0,16:13:50.057000
326,3814,1.0,16:43:06.333000
327,4705,1.0,17:19:00.393000
328,4274,1.0,16:12:06.821000
329,4082,1.0,16:16:54.708000
330,2382,1.0,17:23:54.560000
332,2626,1.0,16:45:53.034000
333,1436,1.0,16:36:36.605000
334,2789,1.0,16:39:18.425000
335,4366,1.0,16:23:33.753000
336,2041,1.0,16:26:16.358000
337,1652,1.0,16:21:06.513000
338,3440,1.0,16:41:37.353000
340,4785,1.0,18:14:50.207000
341,3717,1.0,17:00:05.329000
342,2257,1.0,16:50:56.473000
343,3660,1.0,16:39:15.336000
344,2294,1.0,16:34:59.696000
345,4258,1.0,17:10:30.590000
346,2036,1.0,16:27:53.596000
347,274,1.0,17:09:19.162000
349,210,1.0,17:06:13.585000
350,2104,1.0,16:58:45.730000
351,408,1.0,16:35:49.044000
352,1797,1.0,17:05:32.132000
353,2987,1.0,16:43:36.862000
354,3137,1.0,16:51:19.483000
355,3376,1.0,16:39:09.474000
356,459,1.0,17:37:26.499000
357,768,1.0,17:09:52.785000
358,4834,1.0,17:19:18.606000
359,3677,1.0,17:11:41.404000
