Cohort month,Cohort size,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
8/1/11,2,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
9/1/11,5,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,20%,20%,20%,0%,20%,0%,20%,0%,20%,0%,20%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,20%,0%,0%,20%,0%,0%,20%,0%,20%,0%,0%,0%,
10/1/11,18,6%,0%,0%,0%,0%,0%,0%,0%,6%,6%,0%,6%,0%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,11%,6%,6%,0%,0%,0%,0%,0%,0%,0%,0%,6%,6%,6%,6%,6%,6%,6%,6%,11%,6%,11%,6%,11%,6%,11%,6%,11%,6%,11%,6%,11%,6%,11%,6%,11%,6%,11%,6%,11%,6%,11%,11%,6%,6%,6%,6%,6%,22%,6%,6%,11%,11%,11%,17%,17%,,
11/1/11,3,33%,0%,33%,33%,33%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
12/1/11,1,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,
1/1/12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/12,3,67%,0%,0%,67%,67%,0%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,100%,100%,,,,,,
3/1/12,1732,31%,28%,68%,65%,58%,49%,48%,46%,46%,42%,37%,41%,37%,36%,35%,35%,32%,32%,30%,31%,30%,28%,26%,26%,26%,27%,26%,26%,26%,26%,26%,25%,25%,26%,25%,25%,25%,26%,26%,24%,25%,24%,25%,24%,24%,24%,24%,23%,24%,23%,23%,22%,21%,20%,21%,20%,21%,20%,20%,20%,20%,19%,19%,19%,19%,18%,18%,17%,17%,17%,17%,16%,17%,15%,17%,16%,17%,16%,,,,,,,
4/1/12,847,2%,77%,72%,65%,59%,59%,54%,52%,47%,42%,42%,40%,38%,36%,35%,33%,33%,31%,32%,29%,28%,27%,26%,26%,27%,26%,27%,26%,27%,25%,25%,25%,25%,24%,24%,23%,23%,23%,23%,23%,24%,23%,22%,23%,24%,23%,24%,22%,21%,21%,20%,21%,20%,21%,20%,21%,19%,20%,19%,19%,18%,19%,17%,19%,17%,17%,17%,17%,16%,18%,15%,17%,16%,19%,16%,17%,17%,,,,,,,,
5/1/12,363,79%,68%,64%,56%,56%,51%,56%,50%,44%,48%,45%,42%,42%,41%,39%,39%,37%,38%,35%,36%,33%,36%,32%,34%,31%,31%,33%,33%,31%,33%,29%,31%,30%,33%,31%,32%,29%,28%,31%,32%,31%,29%,28%,28%,24%,29%,22%,26%,23%,25%,21%,27%,24%,25%,24%,26%,22%,25%,24%,23%,22%,24%,23%,24%,22%,21%,22%,20%,22%,21%,24%,19%,23%,21%,21%,21%,,,,,,,,,
