PRODUCT_ID,FISCAL_MONTH_END_DT,GROSS_SALES_QTY,NET_SALES_QTY
618170,1 12 2019,28488,26951
618170,2 06 2019,37185,35341
618170,29 04 2018,34340,32829
618170,29 10 2017,31832,30257
618170,24 09 2017,31956,30422
618170,30 06 2019,36479,34787
618170,2 02 2020,24699,23503
618170,24 12 2017,24720,23276
618170,27 05 2018,39905,38129
618170,25 02 2018,25415,24163
618170,23 12 2018,22900,21608
618170,27 08 2017,35017,33369
618170,30 04 2017,33799,32273
618170,25 11 2018,26732,25373
618170,5 05 2019,32319,30758
618170,24 06 2018,40038,38301
618170,31 03 2019,27506,26119
618170,3 11 2019,30944,29377
618170,29 07 2018,39085,37201
618170,28 05 2017,35737,34116
618170,26 03 2017,27875,26566
618170,3 03 2019,23752,22485
618170,28 10 2018,29070,27583
618170,25 06 2017,36158,34561
618170,30 07 2017,36003,34294
618170,28 01 2018,20689,19608
618170,3 02 2019,20842,19735
618170,26 02 2017,24240,22918
618170,29 09 2019,33403,31827
618170,26 08 2018,37009,35243
618170,4 08 2019,38053,36310
618170,29 12 2019,23397,22041
618170,25 03 2018,29032,27614
618170,23 09 2018,32329,30763
618170,26 11 2017,28045,26465
618170,1 09 2019,36148,34409
305781,3 02 2019,1969,1910
305781,24 12 2017,4626,4500
305781,24 06 2018,4211,4105
305781,2 06 2019,4799,4675
305781,30 06 2019,4658,4525
305781,24 09 2017,3269,3181
305781,4 08 2019,4331,4214
305781,26 02 2017,3026,2949
305781,25 06 2017,4451,4324
305781,27 05 2018,4385,4257
305781,31 03 2019,3575,3493
305781,26 03 2017,3275,3203
305781,28 01 2018,2882,2803
305781,25 02 2018,3171,3088
305781,29 10 2017,3566,3476
305781,27 08 2017,3520,3430
305781,1 09 2019,3891,3780
305781,26 08 2018,3412,3328
305781,28 10 2018,3555,3463
305781,2 02 2020,3406,3323
305781,26 11 2017,4271,4166
305781,5 05 2019,4303,4181
305781,29 09 2019,3824,3737
305781,29 04 2018,3652,3557
305781,23 12 2018,4067,3946
305781,30 04 2017,3854,3755
305781,25 03 2018,3474,3377
305781,25 11 2018,4168,4065
305781,3 11 2019,4041,3955
305781,1 12 2019,5321,5203
305781,30 07 2017,3981,3851
305781,23 09 2018,3346,3254
305781,29 12 2019,4690,4551
305781,29 07 2018,3868,3763
305781,3 03 2019,2823,2751
305781,28 05 2017,4320,4210
765861,24 06 2018,1899,1519
765861,29 10 2017,2148,1793
765861,29 07 2018,1758,1331
765861,27 05 2018,1881,1572
765861,23 09 2018,1823,1487
765861,26 08 2018,1810,1391
765861,4 08 2019,1822,1494
765861,26 02 2017,2612,2115
765861,3 03 2019,2007,1588
765861,28 10 2018,1790,1491
765861,27 08 2017,1977,1598
765861,24 12 2017,2505,2068
765861,29 04 2018,2037,1607
765861,1 09 2019,1721,1368
765861,2 06 2019,1825,1450
765861,28 05 2017,2079,1569
765861,23 12 2018,2404,2037
765861,25 03 2018,1887,1438
765861,31 03 2019,2336,1887
765861,30 06 2019,1876,1473
765861,3 02 2019,1527,1211
765861,25 06 2017,1966,1532
765861,29 12 2019,420,243
765861,25 02 2018,1966,1639
765861,24 09 2017,1652,1311
765861,26 11 2017,2285,1925
765861,30 07 2017,2007,1589
765861,5 05 2019,1803,1324
765861,3 11 2019,1261,988
765861,25 11 2018,2071,1704
765861,2 02 2020,19,-26
765861,1 12 2019,1450,1145
765861,26 03 2017,2519,2072
765861,28 01 2018,1741,1418
765861,29 09 2019,1735,1377
765861,30 04 2017,2387,1838
305814,27 05 2018,12404,12194
305814,26 11 2017,11279,11090
305814,29 07 2018,10019,9842
305814,26 08 2018,10284,10099
305814,3 02 2019,8792,8268
305814,25 06 2017,14830,14565
305814,30 04 2017,14000,13783
305814,29 04 2018,10870,10690
305814,27 08 2017,12504,12297
305814,25 11 2018,11531,11340
305814,23 12 2018,10177,9963
305814,29 12 2019,9311,9086
305814,28 05 2017,14119,13896
305814,24 12 2017,11316,11093
305814,1 09 2019,10810,10608
305814,24 09 2017,11682,11470
305814,28 10 2018,10269,10090
305814,3 03 2019,9896,9732
305814,30 07 2017,13391,13134
305814,28 01 2018,7950,7796
305814,2 06 2019,14344,14095
305814,26 03 2017,12097,11915
305814,25 02 2018,8378,8227
305814,2 02 2020,8703,8535
305814,5 05 2019,13001,12780
305814,29 09 2019,10981,10784
305814,31 03 2019,11546,11351
305814,3 11 2019,10952,10755
305814,4 08 2019,11402,11198
305814,23 09 2018,9879,9695
305814,26 02 2017,10848,10656
305814,24 06 2018,10245,10054
305814,25 03 2018,9283,9131
305814,30 06 2019,13267,13035
305814,29 10 2017,11307,10680
305814,1 12 2019,11044,10830
576113,27 08 2017,3743,3169
576113,28 10 2018,2441,2056
576113,1 09 2019,3275,2767
576113,29 09 2019,3322,2823
576113,30 04 2017,3060,2578
576113,29 10 2017,3491,2950
576113,30 06 2019,2485,2110
576113,3 02 2019,2122,1773
576113,5 05 2019,2710,2308
576113,28 05 2017,2808,2358
576113,26 03 2017,3426,2904
576113,29 12 2019,2297,1922
576113,28 01 2018,2980,2542
576113,27 05 2018,3648,3103
576113,1 12 2019,2430,1976
576113,25 03 2018,2839,2395
576113,29 07 2018,3564,2986
576113,25 06 2017,2808,2376
576113,23 12 2018,2291,1920
576113,26 11 2017,3057,2544
576113,23 09 2018,2593,2173
576113,26 08 2018,2909,2384
576113,31 03 2019,2799,2382
576113,26 02 2017,3594,3019
576113,2 02 2020,2470,2088
576113,3 03 2019,2819,2411
576113,30 07 2017,3270,2771
576113,24 06 2018,3642,3062
576113,24 12 2017,2917,2462
576113,3 11 2019,3192,2690
576113,25 02 2018,2863,2387
576113,24 09 2017,3635,3080
576113,29 04 2018,2984,2533
576113,25 11 2018,2220,1870
576113,2 06 2019,2521,2128
576113,4 08 2019,2365,1997
1000129263,2 06 2019,2,1
1000129263,23 12 2018,976,889
1000129263,29 04 2018,14,11
1000129263,3 11 2019,22,22
1000129263,3 02 2019,1292,1178
1000129263,1 12 2019,104,95
1000129263,30 04 2017,7,4
1000129263,26 08 2018,10,8
1000129263,31 03 2019,32,12
1000129263,24 09 2017,72,65
1000129263,28 01 2018,861,760
1000129263,24 06 2018,2,2
1000129263,29 12 2019,36,31
1000129263,28 10 2018,191,182
1000129263,25 02 2018,505,448
1000129263,26 11 2017,465,434
1000129263,28 05 2017,1,0
1000129263,30 06 2019,2,2
1000129263,27 08 2017,5,5
1000129263,29 07 2018,4,3
1000129263,23 09 2018,30,28
1000129263,26 03 2017,57,43
1000129263,25 11 2018,1111,1057
1000129263,1 09 2019,2,2
1000129263,27 05 2018,3,2
1000129263,25 06 2017,1,1
1000129263,4 08 2019,1,1
1000129263,25 03 2018,96,71
1000129263,26 02 2017,84,60
1000129263,3 03 2019,447,361
1000129263,29 09 2019,5,5
1000129263,5 05 2019,8,6
1000129263,29 10 2017,198,188
1000129263,30 07 2017,2,1
1000129263,24 12 2017,1169,1089
1000129263,2 02 2020,16,14
627047,25 11 2018,12443,11565
627047,28 01 2018,8431,8004
627047,26 11 2017,11536,10940
627047,1 09 2019,18098,17403
627047,28 05 2017,15817,15145
627047,30 04 2017,14758,14113
627047,29 10 2017,13466,12841
627047,25 03 2018,12450,11914
627047,24 06 2018,15489,14794
627047,5 05 2019,16141,15501
627047,27 05 2018,16461,15811
627047,26 02 2017,11232,10808
627047,1 12 2019,13906,13310
627047,29 12 2019,13245,12759
627047,30 07 2017,14783,14125
627047,25 02 2018,11017,10519
627047,3 02 2019,10300,9834
627047,4 08 2019,17475,16744
627047,27 08 2017,14888,14192
627047,29 07 2018,15169,14485
