PRODUCT_ID,PRODUCT_CATEGORY_NAME,PRODUCT_NAME,CURR_RETL_PRICE,HEIGHT,WIDTH,DEPTH,HAZMAT_FLG,MERCURY_FLG,ELECTRIC_FLG,CHEMICAL_FLG,LIQUID_FLG,AEROSOL_FLG,PESTICIDE_FLG,BATTERY_FLG,GAS_FLG,MARKETING_COPY
113065,PROJECT PANELS,1/4 2X4 SANDE PLYWOOD,10.76,,,,,,,,,,,,,"Sande plywood is structurally sound, precision milled and offers a uniform color and thickness for great-looking DIY results every time. The natural beauty of the wood has an aesthetic that even seasoned craftsmen admire. It s ideal for everything from DIY home d cor projects, cabinets, built-ins, soffits and paneling to remodeling projects such as underlayment, countertops and more. This structural plywood panel features a two-sided sanded face with a smooth finish for added convenience and time-saving. The panels have cross-laminated layers of wood veneer that create an exceptionally strong, lightweight, impact-resistant, fastener-holding material. When using sande ply for storage and organization projects, pegboard is always a great addition, enhancing the functionality and flexibility of your finished project. California residents: See Proposition 65"
113079,PROJECT PANELS,1/2 2X4 SANDE PLYWOOD,17.19,,,,,,,,,,,,,"Sande plywood is structurally sound, precision milled and offers a uniform color and thickness for great-looking DIY results every time. The natural beauty of the wood has an aesthetic that even seasoned craftsmen admire. It s ideal for everything from DIY home d cor projects, cabinets, built-ins, soffits and paneling to remodeling projects such as underlayment, countertops and more. This structural plywood panel features a two-sided sanded face with a smooth finish for added convenience and time-saving. The panels have cross-laminated layers of wood veneer that create an exceptionally strong, lightweight, impact-resistant, fastener-holding material. When using sande ply for storage and organization projects, pegboard is always a great addition, enhancing the functionality and flexibility of your finished project. California residents: See Proposition 65"
113096,PROJECT PANELS,3/4 2X4 SANDE PLYWOOD,21.64,,,,,,,,,,,,,"Sande plywood is structurally sound, precision milled and offers a uniform color and thickness for great-looking DIY results every time. The natural beauty of the wood has an aesthetic that even seasoned craftsmen admire. It s ideal for everything from DIY home d cor projects, cabinets, built-ins, soffits and paneling to remodeling projects such as underlayment, countertops and more. This structural plywood panel features a two-sided sanded face with a smooth finish for added convenience and time-saving. The panels have cross-laminated layers of wood veneer that create an exceptionally strong, lightweight, impact-resistant, fastener-holding material. When using sande ply for storage and organization projects, pegboard is always a great addition, enhancing the functionality and flexibility of your finished project. California residents: See Proposition 65"
122346,PROJECT PANELS,1/2 2X4 BIRCH PLYWOOD,21.37,,,,,,,,,,,,,"High-quality, veneered construction gives these birch project panels the structural strength, precision flatness and aesthetic beauty that any professional would be proud of. The decorative veneers are precision-milled, producing captivating woodgrains that showcase the beauty of natural wood. Birch is perfect for building cabinets, shelving, coffee tables, desks and any DIY home d cor projects where the finished appearance is of top importance. The core is manufactured by alternating the grain direction 90-degrees per layer. This cross-layering method creates exceptionally strong, lightweight and dimensionally stable hardwood plywood with excellent toughness and excellent holding power for screws and nails. Veneers have an elegant, smooth finish, perfect for paint or stain and allowing for maximum customization. California residents: See Proposition 65"
146342,CABLE TIES,"24"" NATURAL HVY DUTY CABLE TIE 10PK",4.47,,,,,,,,,,,,,
154089,SHINGLES,GAF HD BARKWOOD,27.02,,,,,,,,,,,,,
156974,SPRAY PAINT,QUICK COLOR GLOSS WHITE,0.98,0.22,0.22,0.66,Y,N,N,Y,N,Y,N,N,Y,The Rust-Oleum Quick Color 10 oz. Aerosol Paint works well for a variety of home projects. The fast-drying formula dries in as little as 20 minutes to maximize your time. The all-purpose paint has an oil-based formula that is suitable for indoor or outdoor use. The paint is also VOC compliant.
156988,SPRAY PAINT,QUICK COLOR GLOSS BLACK,0.98,0.22,0.22,0.66,Y,N,N,Y,N,Y,N,N,Y,The Rust-Oleum 10 oz. Gloss Black General Purpose Aerosol Paint is designed for use on most types of surfaces for a variety of indoor and outdoor applications. The VOC compliant paint dries to a glossy black sheen in as little as 20 minutes and can cover an area of up to 5 sq. ft. for your convenience.
165714,PROJECT PANELS,3/16 2X4 WHITE PEG BOARD,8.84,,,,,,,,,,,,,"Pegboard is a perforated board that has regularly spaced holes into which you can place peg hooks.  It is great for cabinet dividers, drawer backs and bottoms, garage door panels, and store fixtures and displays."
224629,SHINGLES,GAF RS WEATHERED GRAY (SG),23.53,,,,,,,,,,,,,Royal Sovereign Shingles have a simple yet timeless beauty. Some people think all 3-tab shingles look pretty much alike. Not so. GAF has gone to great pains to make Royal Sovereign the most beautiful strip shingle you can install.
229744,PROJECT PANELS,3/4 2X4 MEDIUM DENSITY FIBERBOARD,14.73,,,,,,,,,,,,,"Medium Density Fiberboard (MDF) is an engineered wood product and one of the most versatile DIY and building materials available on the market today. It s attractive appearance, smooth feel and consistent surface makes it ideal for (non-aerosol) painted applications, shelving and storage cabinets. MDF offers the perfect surface for veneer applications as well. MDF is not recommended for applications where excessive moisture or humidity are present. When working with and cutting MDF, work outside and wear a particle mask, as MDF produces a fine-powdered, airborne dust. California residents: See Proposition 65"
253992,1HDL KITCHEN FAUCETS,TORRANCE 1HDL KITCH FAUC W/SPRAY CH,44.2,,,,,,,,,,,,,
254119,1HDL KITCHEN FAUCETS,BANBURY 1HDL KITCH FAUCET W/SPRAY CH,42.6,,,,,,,,,,,,,
254150,1HDL KITCHEN FAUCETS,BANBURY 1HDL KIT FAUC W/DECK-SPRY CH,45.47,,,,,,,,,,,,,
275046,WALL TILE,4X4 TRAVTERTINO LIGHT-1PK/9PC/1SF,4.03,0.3,0.35,0.36,N,N,N,N,N,N,N,N,N,"Light Travertine 4 in. x 4 in. Tumbled Tile adds rustic charm to your home. Punctuated with random surface imperfections for a worn, rustic look, these beige/cream color field tiles are an excellent choice for kitchens, backsplashes, showers, accents walls and vanities. Combine with other field tiles or mosaics to create impressive installations. For best installation results, use white polymer-modified thinset and non-sanded grout. A penetrating sealer is also recommended before grouting."
285033,WALL TILE,3X6 TRAVERTINO LIGHT-CA-1SF,4.76,0.27,0.28,0.52,N,N,N,N,N,N,N,N,N,"Light Travertine 3 in. x 6 in. Wall and Floor Tile adds rustic charm to your home. Punctuated with random surface imperfections for a worn, rustic look, these beige/cream color field tiles are an excellent choice for floors, kitchens, backsplashes, showers, accents walls and vanities. Combine with other field tiles or mosaics to create impressive installations. For best installation results, use white polymer-modified thinset and non-sanded grout. A penetrating sealer is also recommended before grouting."
285189,WALL TILE,3X6 ALLEGRO WHITE GLOSS-EA,3.36,,,,,,,,,,,,,
287413,WALL TILE,3X6 ROYAL CREAM CERAMIC WALL-EA,3.78,,,,,,,,,,,,,
289324,WALL TILE,3X6 ALLEGRO WHT BEVLD-EA,4.23,,,,,,,,,,,,,
289389,PROJECT PANELS,1/2 2X4 MEDIUM DENSITY FIBERBOARD,11.83,,,,,,,,,,,,,"Medium Density Fiberboard (MDF) is an engineered wood product and one of the most versatile DIY and building materials available on the market today. It s attractive appearance, smooth feel and consistent surface makes it ideal for (non-aerosol) painted applications, shelving and storage cabinets. MDF offers the perfect surface for veneer applications as well. MDF is not recommended for applications where excessive moisture or humidity are present. When working with and cutting MDF, work outside and wear a particle mask, as MDF produces a fine-powdered, airborne dust. California residents: See Proposition 65"
