incident_id,timeline.incident.day,timeline.incident.month,timeline.incident.time,timeline.incident.year,actor,action,attribute.confidentiality,attribute.integrity,attribute.availability,asset,asset.variety,confidentiality.medical_records,confidentiality.payment_records,confidentiality.personal_records,confidentiality.total_record_count,victim.employee_count,victim.state,victim.country,victim.victim_id,summary,reference
F8E9958F-1964-43C2-9FFD-18626E762388,20.0,1.0,,2016,external,malware,True,True,False,server,s - database,0.0,0.0,0.0,0.0,unknown,,AU,Royal Melbourne Hospital,"A report this week in The Age said a ""computer virus"" has affected Windows XP systems across the hospital, interfering with the delivery of meals and pathology results. Staff have resorted to ""manual workarounds"", telephones, and fax machines to ensure continued delivery of these services.",http://www.databreaches.net/au-hack-attack-on-a-hospital-it-system-highlights-the-risk-of-still-running-windows-xp/
CC5E5B26-62A1-42C5-9C12-FC25F4267271,11.0,6.0,,2010,external,physical,True,False,True,user dev,u - laptop,1105.0,0.0,0.0,1105.0,11 to 100,KS,US,Occupational Health Partners,,
D305CA4D-0909-4F8B-9BA5-4CC3BEA5D33A,,10.0,,2014,internal,error,True,False,False,media,m - documents,1778.0,0.0,0.0,1778.0,101 to 1000,MN,US,Northfield Hospital & Clinics,"Northfield Hospital & Clinics is in the process of directly notifying 1,778 patients about a recent breach in the handling of protected patient information. The notification stems from an incident over a period of eight days in late October when documents containing protected health information were comingled in error with other refuse and placed in commercial dumpsters for disposal. The unsecured documents may have included patient names, account numbers, birth dates, home addresses, types of treatment, insurance information, medical information, and, in a few cases, credit card information. Hospital officials say they are confident the documents went directly to a secured landfill. But out of an abundance of caution, patients are being notified and offered assistance in monitoring their financial accounts. We sincerely apologize to our patients for the breach, said Steve Underdahl, President and CEO of Northfield Hospital & Clinics. We are committed to being good stewards of protected patient information and honoring our promise of confidentiality. We very much regret that this incident occurred. We are learning from it and are emerging with more secure protocols. Patients involved will receive a letter offering them resources to guard against identity theft. An 800 number will be established for people to call with questions and for help in minimizing their exposure. The number will be published next week on the Northfield Hospital & Clinics website. Northfield Hospital & Clinics is also offering free credit monitoring for a period of twelve months. As a result of the breach Northfield Hospital & Clinics, steps are underway to further improve the security of operations and eliminate future risk. For instance, desk-side recycling containers have been removed in favor of more secure, centralized confidential waste containers. Staff is being educated on best practices for the handling confidential waste and cleaning personnel will be supervised until further notice. Underdahl said a very small subset of patients is affected by this breach, but he said an incident like this is always taken seriously. We are confident that our patients exposure is minimal, he said. But we always want to error on the side of caution and do what we can to mitigate the impact of the incident.",http://www.southernminn.com/northfield_news/article_550d4a03-738f-5c89-947d-6e46ed8b4e71.html
782906c0-ee92-11e7-b683-c1703914e4a4,,,,2014,partner,error,True,False,False,server,s - web application,500.0,0.0,0.0,500.0,unknown,,AU,,The website was automatically storing naked photos and pre-surgery medical forms clients were required to submit online.  The clinic’s owner Andrew Gill said the leak was due to a fault with the website and it was taken down as soon as the issue was discovered.,https://au.news.yahoo.com/nsw/a/35742204/bondi-cosmetic-clinic-the-cosmetic-institute-leaks-naked-photos-of-clients-personal-details-in-privacy-breach-report/#page1
BDD1DE7E-4DEB-428D-A97E-C7D650238C5D,3.0,2.0,,2012,external,physical,True,False,True,user dev,u - laptop,7757.0,0.0,0.0,7757.0,unknown,KS,US,Kansas Department on Aging,,
EE0E8BA2-7D15-4C62-AC49-6405DA49EA81,5.0,3.0,,2013,external,physical,True,False,True,user dev,u - desktop,0.0,0.0,0.0,539.0,unknown,TN,US,Integrity Oncology,Integrity Oncology's business associate North Atlantic Telecom discovered a breach incident on March 5. ,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html
B124687D-155B-4EED-BACF-E90D902E8F93,27.0,8.0,,2015,internal,misuse,True,False,False,server,s - database,164.0,0.0,0.0,164.0,large,CA,US,Valley Children's Hospital,Doctors accessed medical records in attempts to solicit patients to new practice.,http://www.fresnobee.com/news/local/article38038617.html; https://www.documentcloud.org/documents/2451168-15cecg02967-1.html
761a7e70-98e5-11e7-a6db-535ccd646699,5.0,7.0,,2017,external,malware,True,True,True,network,n - voip adapter,0.0,0.0,0.0,0.0,101 to 1000,,US,Caro Community Hospital,Ransomware attack on hospital,http://www.wnem.com/story/35903543/caro-hospital-falls-victim-to-ransomware-attack
E61A58E8-D8F3-453C-B897-30A9D7C8A4D4,3.0,6.0,,2013,external,physical,True,False,True,server,s - mail,1167.0,0.0,0.0,1167.0,101 to 1000,OH,US,"Community Support Services, Inc.",Theft of email results in exposure of 1167 records.,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf
03B94103-B239-4093-80CB-AC9430E6CE8F,4.0,5.0,,2010,external,physical,True,False,True,user dev,u - laptop,3621.0,0.0,0.0,3621.0,1 to 10,MA,US,Massachusetts Eye and Ear Infirmary,,
