"Number of daily deaths by local authority, England and Wales, deaths occurred in 2013 1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Authority,Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Adur                                    ,January,3,2,2,4,2,3,2,1,1,1,2,2,1,3,3,3,3,5,0,1,2,1,3,0,1,2,3,3,4,5,0,
,February,1,1,0,2,1,2,1,3,4,4,0,3,3,1,2,4,1,4,4,2,3,3,2,0,2,0,2,0,0,0,0,
,March,4,4,2,3,0,2,7,1,4,4,0,4,3,1,3,2,3,1,3,2,1,1,5,4,3,6,0,0,1,3,1,
,April,2,1,1,0,4,3,1,4,2,3,0,2,2,1,2,1,2,2,3,2,3,3,1,4,3,8,2,4,0,2,0,
,May,2,5,3,2,1,1,4,3,3,2,2,0,3,0,1,4,1,1,2,3,0,3,3,4,0,1,1,2,0,1,1,
,June,2,3,2,2,2,3,3,3,2,0,1,0,1,1,1,1,2,4,1,2,1,1,0,2,2,1,0,1,2,2,0,
,July,2,1,2,1,2,0,3,1,2,1,1,3,1,4,1,1,4,1,3,0,0,0,3,3,2,1,2,0,0,2,2,
,August ,1,4,2,1,1,1,5,2,2,2,2,3,2,2,1,0,3,2,1,1,2,1,0,1,1,0,1,1,1,1,0,
,September,2,0,1,0,2,2,1,1,2,2,3,1,1,2,1,1,2,1,3,1,2,1,2,0,0,0,1,2,4,2,0,
,October,0,1,1,2,0,0,0,0,4,1,2,0,0,2,2,2,3,1,3,1,2,0,1,3,2,5,3,3,3,2,2,
,November,5,2,3,0,3,2,3,0,1,3,4,0,0,2,6,1,5,1,2,1,1,2,1,1,3,2,1,1,5,1,0,
,December,2,4,5,3,2,1,1,2,0,3,2,1,1,1,1,3,2,3,2,4,3,2,5,4,4,2,2,2,1,1,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allerdale                               ,January,6,3,3,3,7,2,4,2,7,4,1,0,7,3,3,6,5,7,0,3,1,2,6,1,5,4,5,3,3,3,3,
,February,2,4,4,6,3,4,3,4,7,2,3,3,2,3,4,1,2,3,0,3,4,3,1,4,5,1,2,7,0,0,0,
,March,5,1,2,3,4,1,5,1,3,3,7,4,6,4,1,7,0,5,5,4,3,2,3,6,5,1,2,0,3,2,3,
,April,4,3,5,6,3,3,5,2,3,4,0,2,4,5,2,3,3,4,5,4,6,1,5,1,1,1,2,1,1,6,0,
,May,1,5,4,4,4,3,4,4,2,2,4,3,2,5,4,4,3,3,3,2,4,4,4,1,2,2,2,2,1,2,4,
,June,3,2,4,2,4,4,1,3,3,2,0,4,5,1,2,3,5,1,3,3,0,0,4,4,2,5,1,5,0,3,0,
,July,3,2,3,2,3,0,2,1,1,4,2,4,2,2,2,1,1,3,0,3,1,1,5,4,3,2,3,2,0,3,4,
,August ,3,4,2,3,2,1,2,1,2,2,4,1,0,3,1,1,5,4,2,1,3,5,3,4,4,1,2,2,1,4,2,
,September,3,1,4,2,5,1,2,3,4,3,4,4,4,1,3,2,2,1,3,3,3,1,3,4,1,4,2,3,2,2,0,
,October,3,8,3,3,1,4,1,2,2,2,3,4,1,0,3,4,4,2,1,5,2,3,3,2,1,2,1,1,4,2,2,
,November,2,0,3,2,2,3,3,0,3,1,4,7,2,6,2,4,3,2,3,5,2,1,4,3,5,4,4,1,1,2,0,
,December,2,1,3,1,6,2,2,5,3,4,2,1,1,5,1,2,0,2,2,3,1,2,2,2,4,3,1,5,3,2,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber Valley                            ,January,1,7,5,4,2,5,4,2,4,2,5,4,3,2,2,2,2,5,5,3,5,7,2,3,6,2,4,1,1,3,3,
,February,6,6,7,5,6,9,6,5,3,2,6,3,2,3,4,5,4,8,2,4,4,4,9,6,5,5,2,7,0,0,0,
,March,6,6,1,3,4,6,5,7,2,4,8,2,2,7,3,3,6,5,4,2,6,3,1,0,4,2,3,5,3,5,3,
,April,1,7,8,5,2,1,4,7,8,1,0,6,2,4,5,5,2,1,6,0,5,3,4,3,1,3,2,3,3,4,0,
,May,3,3,2,4,4,1,3,5,2,1,7,2,3,3,3,1,2,5,3,5,4,0,1,2,2,1,3,7,2,4,4,
,June,0,4,3,2,3,3,3,3,6,4,3,1,5,4,3,3,5,3,2,3,2,6,3,4,10,1,3,1,3,3,0,
,July,1,4,4,2,2,1,5,3,2,3,1,4,1,1,1,3,3,3,3,4,3,5,3,3,4,0,6,3,3,1,3,
,August ,4,4,4,5,5,2,1,6,3,3,2,2,2,2,3,4,3,2,3,1,4,2,6,7,2,1,3,3,3,3,5,
,September,3,2,5,2,4,3,2,6,3,3,1,3,8,3,0,1,1,1,3,2,3,0,3,5,3,2,4,3,1,4,0,
,October,1,5,3,6,1,4,0,2,2,5,2,1,1,6,3,1,3,5,2,3,3,5,7,3,5,0,1,3,3,1,5,
,November,3,1,5,5,3,5,5,2,3,4,3,2,0,6,3,5,3,3,2,6,6,5,2,5,3,2,6,4,4,5,0,
,December,4,4,0,5,4,3,5,4,5,6,3,3,3,0,9,3,3,6,4,3,5,2,4,1,9,2,6,7,7,4,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arun                                    ,January,8,4,10,7,6,9,9,7,8,6,10,1,4,6,14,4,5,2,5,4,6,7,4,9,2,7,4,4,7,7,7,
,February,11,8,6,7,6,8,2,4,8,10,2,2,7,4,4,9,7,2,7,2,11,8,6,6,6,7,7,6,0,0,0,
,March,7,12,6,8,6,8,8,10,7,9,11,2,7,1,8,6,9,6,4,5,11,5,6,6,3,4,6,5,6,3,4,
,April,7,6,6,4,8,4,7,8,7,7,5,8,3,9,2,7,5,11,5,9,0,4,3,5,2,11,7,8,4,4,0,
,May,9,3,7,6,2,6,4,6,6,6,8,3,2,9,10,4,3,7,1,5,3,4,6,6,2,4,5,5,6,2,9,
,June,5,1,2,4,4,6,5,3,8,10,6,6,4,1,7,6,5,11,4,5,5,4,4,5,5,7,5,9,5,5,0,
,July,3,3,8,7,3,6,6,1,6,3,9,5,4,12,7,4,9,5,5,7,9,5,5,6,3,3,4,4,3,8,8,
,August ,7,3,3,6,8,2,5,4,7,6,5,5,5,5,1,7,4,6,5,5,4,1,5,5,4,7,5,4,2,4,5,
,September,8,5,4,8,4,6,2,6,4,10,6,5,8,7,3,6,6,5,4,3,11,9,6,5,5,7,5,6,7,3,0,
,October,5,4,9,2,9,6,4,2,4,5,7,2,3,9,2,5,1,5,8,5,7,4,7,5,3,4,6,7,10,4,3,
,November,6,4,4,5,4,5,1,9,2,4,4,3,8,4,3,6,3,6,3,4,4,7,4,5,5,6,6,6,3,3,0,
,December,6,6,6,6,4,10,5,1,1,8,11,3,4,3,9,6,6,4,2,9,7,11,4,7,9,4,5,6,3,6,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashfield                                ,January,3,3,0,6,2,3,5,1,5,4,7,5,3,1,1,3,3,4,3,2,4,5,1,2,1,3,1,4,6,3,6,
,February,3,4,1,9,4,2,3,1,3,6,8,2,2,5,6,4,2,0,4,3,1,2,2,2,4,3,2,5,0,0,0,
,March,6,4,2,3,1,5,1,6,3,5,1,8,5,5,2,3,4,3,3,3,3,2,1,3,2,1,3,3,2,3,2,
,April,4,1,4,2,4,1,2,6,5,4,1,7,5,0,3,3,3,5,2,2,0,4,4,3,5,5,2,3,4,3,0,
,May,4,3,3,4,4,4,5,2,3,1,0,3,6,3,2,5,2,5,6,3,2,1,0,4,3,1,3,1,4,4,4,
,June,1,1,4,4,5,4,2,1,5,3,6,1,1,6,2,6,2,4,2,5,3,3,4,4,0,1,5,1,6,3,0,
,July,2,1,5,3,4,2,2,4,0,2,2,4,2,2,3,7,1,5,4,2,4,2,2,2,5,2,4,1,0,1,1,
,August ,1,0,4,3,3,3,0,2,2,2,5,2,1,2,3,2,0,2,4,1,5,3,5,1,3,3,2,4,3,6,2,
,September,1,2,2,3,3,2,5,1,3,2,2,5,5,1,3,2,4,4,3,3,4,4,6,4,3,2,2,4,3,3,0,
,October,2,1,3,3,2,2,5,4,4,2,4,3,4,5,4,5,5,5,3,0,5,2,3,6,6,2,3,1,5,2,3,
,November,5,4,3,4,3,2,1,9,4,6,0,2,3,4,3,5,0,1,2,3,2,4,6,1,4,2,8,5,4,5,0,
,December,4,3,2,2,4,5,3,3,5,3,0,0,1,5,1,4,3,2,6,3,2,4,0,4,1,4,4,4,3,2,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashford                                 ,January,6,2,2,1,0,1,1,3,3,3,4,2,6,6,3,2,1,3,3,2,2,2,3,3,3,2,3,2,7,5,4,
,February,4,1,1,6,1,8,1,3,3,7,2,4,2,4,2,2,5,3,3,4,2,2,7,1,2,3,4,2,0,0,0,
,March,2,1,2,2,7,5,1,2,7,5,5,4,2,5,3,2,3,1,4,2,4,6,3,5,3,2,5,1,5,4,3,
,April,3,2,4,7,2,2,3,3,5,5,6,5,4,4,1,3,1,5,4,4,2,2,3,1,2,0,2,2,3,1,0,
,May,1,3,2,4,3,5,4,2,3,1,5,0,4,1,1,3,2,3,3,4,2,3,4,6,3,1,2,2,7,4,2,
,June,3,4,4,1,2,5,4,2,3,3,4,3,1,6,0,6,2,1,2,6,5,4,1,7,1,4,0,2,1,4,0,
,July,3,1,4,3,1,0,4,3,4,2,2,3,0,2,2,1,1,1,1,0,2,0,4,1,3,0,2,1,1,3,0,
,August ,1,1,1,1,3,3,4,2,2,1,3,5,3,5,3,2,0,2,0,4,2,0,1,4,0,1,3,3,2,1,3,
,September,2,2,5,2,1,1,3,2,2,6,4,5,1,2,2,0,0,0,1,3,3,3,3,1,1,4,1,4,4,5,0,
,October,4,1,4,4,5,2,2,2,0,2,1,1,2,3,4,5,0,3,7,0,2,1,2,1,1,3,1,3,2,2,5,
,November,3,4,2,0,6,1,2,5,3,5,2,2,6,6,1,3,2,4,3,1,5,2,1,0,2,7,2,2,2,3,0,
,December,2,3,0,3,2,4,3,2,7,2,0,5,4,2,1,3,2,5,2,6,3,5,3,3,4,1,7,5,1,2,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aylesbury Vale                          ,January,4,6,6,4,4,4,0,5,7,3,3,6,3,3,4,4,3,5,6,4,3,7,5,3,4,2,2,3,3,2,7,
,February,4,3,3,4,5,4,2,4,4,1,1,6,2,3,6,2,0,4,5,7,2,7,2,5,2,5,1,6,0,0,0,
