"Number of daily deaths by local authority, England and Wales, deaths occurred in 2014 1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Authority,Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Adur                                    ,January,3,1,2,2,4,1,2,0,3,5,2,2,3,0,1,3,1,2,0,3,2,1,2,5,3,1,1,2,4,1,1,
,February,0,5,2,1,1,1,4,3,0,4,2,1,3,1,0,0,3,0,0,3,1,1,3,3,4,6,4,0,0,0,0,
,March,5,3,1,0,1,1,0,1,2,0,2,6,3,2,3,2,1,1,1,1,0,2,1,0,6,2,1,1,2,3,2,
,April,3,2,2,0,4,1,1,1,0,5,2,1,1,3,3,0,5,0,4,1,5,0,1,1,3,1,4,0,0,1,0,
,May,3,2,0,2,3,1,1,2,2,2,3,0,1,0,3,3,0,1,1,0,1,0,1,3,4,2,2,3,1,2,1,
,June,0,0,1,7,4,3,2,2,2,2,1,0,1,3,2,0,3,0,2,0,2,2,4,1,2,3,2,2,0,1,0,
,July,2,4,1,1,3,1,1,1,1,0,2,2,1,2,1,2,3,6,2,1,2,3,0,2,2,2,3,3,3,3,0,
,August ,2,1,2,3,1,4,4,4,1,4,0,2,1,1,3,1,3,2,4,2,5,2,2,3,2,4,0,0,1,1,4,
,September,1,2,3,1,2,0,0,4,2,1,2,0,5,0,1,1,0,2,0,0,1,3,2,0,1,3,4,0,1,2,0,
,October,1,1,2,4,2,1,1,5,0,2,4,2,3,3,4,2,1,3,2,1,0,3,1,2,1,2,1,0,2,1,1,
,November,2,2,1,2,1,0,1,3,3,4,3,1,0,2,1,1,2,3,3,3,0,1,0,0,3,1,2,5,2,2,0,
,December,3,1,2,0,0,0,0,1,1,1,2,4,3,1,2,2,0,2,1,5,3,6,3,6,3,6,4,3,7,2,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
