year,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
1420,304,230,248,243,256,231,242,241,339,307,330,454
1421,294,231,238,272,282,228,239,252,314,335,345,412
1422,301,175,191,265,293,286,270,273,336,308,357,434
1423,313,249,266,253,285,273,258,293,356,358,404,483
1424,383,274,267,287,259,339,295,319,412,318,398,414
1425,367,279,286,257,292,341,301,323,377,367,409,481
1426,390,292,304,300,292,306,287,300,366,344,370,485
1427,372,311,284,280,306,291,292,305,379,355,460,500
1428,481,330,300,353,284,301,300,306,308,273,328,411
1429,385,255,257,300,266,265,263,291,312,259,354,438
1430,343,255,232,299,255,279,238,282,285,272,325,338
1431,353,347,316,376,376,346,249,348,440,373,426,468
1432,422,368,367,400,394,368,394,403,463,411,401,401
1433,493,382,397,467,396,403,430,363,518,398,421,436
1434,455,411,431,454,456,446,368,418,482,406,411,439
1435,443,427,554,637,546,474,507,464,459,414,419,427
1436,495,423,533,610,495,506,477,479,459,478,463,495
1437,485,428,573,570,541,549,551,456,507,486,487,454
1438,471,429,542,528,564,511,533,599,510,543,501,478
1439,494,418,545,684,584,498,495,528,496,462,432,456
1440,409,393,537,584,572,562,506,454,524,,,
