element_id,is mobile ( 1),CVR estimation 1 ,CVR estimation 2 
37890,,0.02983747,0.057
37890,1,0.01505345,0.0124
37891,,0.02983747,0.057
37891,1,0.01505345,0.0124
37901,,0.02983747,0.057
37901,1,0.01505345,0.0124
37924,,0.02983747,0.057
37924,1,0.01505345,0.0124
37946,,0.02983747,0.057
37946,1,0.01505345,0.0124
37988,,0.02983747,0.057
37988,1,0.01505345,0.0124
38012,,0.02983747,0.057
38012,1,0.01505345,0.0124
38059,,0.02983747,0.057
38059,1,0.01505345,0.0124
38116,,0.07692141,0.057
38116,1,0.01408648,0.0124
38117,,0.02983747,0.057
38117,1,0.01505345,0.0124
38228,,0.02983747,0.057
38228,1,0.01505345,0.0124
38263,,0.02983747,0.057
38263,1,0.01505345,0.0124
38585,,0.02983747,0.057
38585,1,0.01505345,0.0124
38616,,0.02902789,0.057
38616,1,0.01505345,0.0124
38674,,0.02983747,0.057
38674,1,0.01505345,0.0124
38757,,0.02983747,0.057
38757,1,0.01505345,0.0124
38759,,0.02983747,0.057
38759,1,0.01505345,0.0124
38773,,0.02983747,0.057
38773,1,0.01505345,0.0124
38847,,0.02902789,0.057
38847,1,0.01505345,0.0124
38879,,0.02983747,0.057
38879,1,0.01505345,0.0124
38926,,0.02983747,0.057
38926,1,0.01505345,0.0124
38939,,0.02983747,0.057
38939,1,0.01505345,0.0124
38978,,0.02983747,0.057
38978,1,0.01505345,0.0124
38980,,0.02983747,0.057
38980,1,0.01505345,0.0124
39121,,0.02983747,0.057
39121,1,0.01505345,0.0124
39134,,0.02983747,0.057
39134,1,0.01505345,0.0124
39249,,0.02902789,0.057
39249,1,0.01505345,0.0124
39274,,0.02983747,0.057
39274,1,0.01505345,0.0124
39284,,0.02826108,0.057
39284,1,0.01505345,0.0124
39292,,0.02983747,0.057
39292,1,0.01505345,0.0124
39317,,0.02983747,0.057
39317,1,0.01505345,0.0124
39366,,0.02983747,0.057
39366,1,0.01505345,0.0124
39382,,0.02983747,0.057
39382,1,0.01505345,0.0124
39393,,0.02983747,0.057
39393,1,0.01505345,0.0124
39457,,0.02983747,0.057
39457,1,0.01505345,0.0124
39500,,0.02983747,0.057
39500,1,0.01505345,0.0124
39567,,0.02983747,0.057
39567,1,0.01505345,0.0124
39572,,0.02983747,0.057
39572,1,0.01408648,0.0124
39576,,0.02983747,0.057
39576,1,0.01505345,0.0124
39748,,0.07692141,0.057
39748,1,0.01505345,0.0124
39749,,0.02983747,0.057
39749,1,0.01505345,0.0124
39955,,0.02902789,0.057
39955,1,0.01505345,0.0124
39988,,0.02983747,0.057
39988,1,0.01505345,0.0124
39998,,0.02983747,0.057
39998,1,0.01505345,0.0124
40011,,0.02983747,0.057
40011,1,0.01505345,0.0124
40089,,0.02983747,0.057
40089,1,0.01505345,0.0124
40093,,0.02983747,0.057
40093,1,0.01505345,0.0124
40109,,0.02983747,0.057
40109,1,0.01505345,0.0124
40116,,0.02983747,0.057
40116,1,0.01505345,0.0124
40182,,0.02983747,0.057
40182,1,0.01455392,0.0124
40199,,0.02983747,0.057
40199,1,0.01505345,0.0124
40294,,0.02983747,0.057
40294,1,0.01505345,0.0124
40301,,0.02983747,0.057
40301,1,0.01505345,0.0124
40329,,0.02983747,0.057
40329,1,0.01505345,0.0124
40397,,0.02983747,0.057
40397,1,0.01505345,0.0124
40506,,0.02983747,0.057
40506,1,0.01505345,0.0124
40537,,0.02983747,0.057
40537,1,0.01505345,0.0124
40585,,0.02902789,0.057
40585,1,0.01505345,0.0124
40588,,0.02983747,0.057
40588,1,0.01505345,0.0124
