account_id,device
0-2786671,"iPod4,1"
0-2787228,"iPhone4,1"
0-2787785,"iPhone4,1"
0-2788342,"iPad2,1"
0-2788899,"iPad1,1"
0-2789456,"iPhone3,1"
0-2790013,"iPhone4,1"
0-2790570,"iPad2,4"
0-2791127,"iPhone3,1"
0-2791684,"iPad2,2"
0-2792241,"iPhone5,2"
0-2792798,"iPhone2,1"
0-2793355,"iPod5,1"
0-2793912,"iPad2,1"
0-2794469,"iPhone2,1"
0-2795026,"iPhone3,1"
0-2795583,"iPhone5,2"
0-2796140,"iPad2,1"
0-2796697,"iPad1,1"
0-2797254,"iPad2,2"
0-2797811,"iPad2,5"
0-2798368,"iPhone3,1"
0-2798925,"iPhone2,1"
0-2799482,"iPad2,1"
0-2800039,"iPod4,1"
0-2800596,"iPhone2,1"
0-2801153,"iPod4,1"
0-2801710,"iPhone3,1"
0-2802267,"iPhone5,2"
0-2802834,"iPhone5,1"
0-2803392,"iPad3,1"
0-2803950,"iPad3,3"
0-2804508,"iPhone5,2"
0-2805066,"iPhone3,1"
0-2805624,"iPad2,2"
0-2806182,"iPhone4,1"
0-2806740,"iPod4,1"
0-2807298,"iPad2,1"
0-2807856,"iPhone4,1"
0-2808414,"iPhone5,1"
0-2808972,"iPhone3,1"
0-2809530,"iPad3,1"
0-2810088,"iPhone2,1"
0-2810646,"iPhone5,2"
0-2811204,"iPod4,1"
0-2811762,"iPod4,1"
0-2812320,"iPhone5,2"
0-2812878,"iPad3,3"
0-2813436,"iPad2,1"
0-2813994,"iPhone4,1"
0-2814552,"iPhone4,1"
0-2815110,"iPod4,1"
0-2815668,"iPad3,4"
0-2816226,"iPod4,1"
0-2816784,"iPhone2,1"
0-2817342,"iPhone4,1"
0-2817900,"iPod4,1"
0-2818458,"iPhone4,1"
0-2819016,"iPhone3,3"
0-2819574,"iPad3,3"
0-2820132,"iPhone3,1"
0-2820690,"iPhone4,1"
0-2821248,"iPhone3,1"
0-2821806,"iPad2,4"
0-2822364,"iPod4,1"
0-2822922,"iPod4,1"
0-2823480,"iPhone5,2"
0-2824038,"iPhone4,1"
0-2824596,"iPod4,1"
0-2825154,"iPhone3,3"
0-2825712,"iPod4,1"
0-2826270,"iPad2,2"
0-2826828,"iPad3,3"
0-2827386,"iPad3,1"
0-2827981,"iPhone4,1"
0-2828540,"iPhone4,1"
0-2829099,"iPad1,1"
0-2829658,"iPhone5,2"
0-2830217,"iPhone3,1"
0-2830776,"iPhone4,1"
0-2831335,"iPhone4,1"
0-2831894,"iPad1,1"
0-2832453,"iPod4,1"
0-2833012,"iPhone4,1"
0-2833571,"iPad3,6"
0-2834130,"iPhone5,1"
0-2834689,"iPhone4,1"
0-2835248,"iPad3,3"
0-2835807,"iPhone2,1"
0-2836366,"iPad3,4"
0-2836925,"iPhone5,2"
0-2837484,"iPad3,6"
0-2838043,"iPhone3,1"
0-2838602,"iPhone4,1"
0-2839161,"iPhone3,1"
0-2839720,"iPhone3,1"
0-2840279,"iPod4,1"
0-2840838,"iPhone3,1"
0-2841397,"iPad2,2"
0-2841956,"iPhone3,1"
0-2842515,"iPad2,1"
0-2843074,"iPad3,1"
0-2843633,"iPhone2,1"
0-2844192,"iPod4,1"
0-2844751,"iPad2,2"
0-2845310,"iPhone2,1"
0-2845869,"iPad3,3"
0-2846428,"iPhone4,1"
0-2846987,"iPad3,4"
0-2847546,"iPod4,1"
0-2848105,"iPhone5,2"
0-2848664,"iPad2,2"
0-2849223,"iPod4,1"
0-2849782,"iPod4,1"
0-2850341,"iPad2,4"
0-2850900,"iPhone4,1"
0-2851459,"iPad2,1"
0-2852018,"iPad3,1"
0-2852577,"iPod4,1"
0-2853200,"iPhone5,2"
0-2853760,"iPhone4,1"
0-2854320,"iPhone3,1"
0-2854880,"iPad2,5"
0-2855440,"iPad1,1"
0-2856000,"iPhone5,1"
0-2856560,"iPad2,4"
0-2857120,"iPad2,2"
0-2857680,"iPod4,1"
0-2858240,"iPad3,1"
0-2858800,"iPhone4,1"
0-2859360,"iPhone5,1"
0-2859920,"iPad3,1"
0-2860480,"iPhone3,1"
0-2861040,"iPhone5,2"
0-2861600,"iPod4,1"
0-2862160,"iPad2,1"
0-2862720,"iPhone4,1"
0-2863280,"iPod3,1"
0-2863840,"iPad2,5"
0-2864400,"iPad2,2"
0-2864960,"iPhone3,1"
0-2865520,"iPod4,1"
0-2866080,"iPhone2,1"
0-2866640,"iPad3,1"
0-2867200,"iPhone4,1"
0-2867760,"iPod4,1"
0-2868320,"iPhone2,1"
0-2868880,"iPod4,1"
0-2869440,"iPhone4,1"
0-2870000,"iPad2,4"
0-2870560,"iPod4,1"
0-2871120,"iPad2,4"
0-2871680,"iPhone5,2"
0-2872240,"iPhone3,1"
0-2872800,"iPad3,1"
0-2873360,"iPod4,1"
0-2874003,"iPhone5,2"
0-2874564,"iPhone3,1"
0-2875125,"iPhone5,2"
0-2875686,"iPad2,4"
0-2876247,"iPhone5,2"
0-2876808,"iPod4,1"
0-2877369,"iPhone5,2"
0-2877930,"iPhone4,1"
0-2878491,"iPhone4,1"
0-2879052,"iPhone3,1"
0-2879613,"iPhone4,1"
0-2880174,"iPhone4,1"
0-2880735,"iPhone5,2"
0-2881296,"iPad2,1"
0-2881857,"iPhone3,1"
0-2882418,"iPhone2,1"
0-2882979,"iPhone5,1"
0-2883540,"iPhone3,1"
0-2884101,"iPad2,1"
0-2884662,"iPad2,4"
0-2885223,"iPad2,2"
0-2885784,"iPhone5,2"
0-2886345,"iPhone3,1"
0-2886906,"iPad3,1"
0-2887467,"iPhone4,1"
0-2888028,"iPhone3,1"
0-2888589,"iPad2,2"
0-2889150,"iPod4,1"
0-2889711,"iPod5,1"
0-2890272,"iPad3,1"
0-2890833,"iPhone5,2"
0-2891394,"iPhone3,1"
0-2891955,"iPhone2,1"
0-2892516,"iPhone5,2"
0-2893077,"iPhone4,1"
0-2893638,"iPod4,1"
0-2894199,"iPhone4,1"
0-2894760,"iPhone4,1"
0-2895424,"iPhone2,1"
0-2895986,"iPad2,1"
0-2896548,"iPhone2,1"
0-2897110,"iPod4,1"
0-2897672,"iPhone5,2"
0-2898234,"iPad2,5"
0-2898796,"iPhone4,1"
0-2899358,"iPhone5,1"
0-2899920,"iPhone3,1"
0-2900482,"iPhone2,1"
0-2901044,"iPod4,1"
0-2901606,"iPad3,4"
0-2902168,"iPhone4,1"
0-2902730,"iPhone4,1"
0-2903292,"iPod3,1"
0-2903854,"iPhone3,1"
0-2904416,"iPad2,1"
0-2904978,"iPod4,1"
0-2905540,"iPhone4,1"
0-2906102,"iPhone5,2"
0-2906664,"iPad3,4"
0-2907226,"iPhone4,1"
0-2907788,"iPhone4,1"
0-2908350,"iPhone4,1"
0-2908912,"iPad2,1"
0-2909474,"iPhone4,1"
0-2910036,"iPad2,2"
0-2910598,"iPhone3,1"
0-2911160,"iPhone5,2"
0-2911722,"iPod4,1"
0-2912284,"iPad2,5"
0-2912846,"iPod5,1"
0-2913408,"iPhone4,1"
0-2913970,"iPod4,1"
0-2914532,"iPhone5,2"
0-2915094,"iPod4,1"
0-2915656,"iPad2,5"
0-2916340,"iPad1,1"
0-2916903,"iPhone4,1"
0-2917466,"iPhone4,1"
0-2918029,"iPhone3,3"
0-2918592,"iPad3,1"
0-2919155,"iPod4,1"
0-2919718,"iPhone2,1"
0-2920281,"iPhone3,1"
0-2920844,"iPod4,1"
0-2921407,"iPad2,2"
0-2921970,"iPhone3,1"
0-2922533,"iPad2,4"
0-2923096,"iPad2,2"
0-2923659,"iPhone4,1"
0-2924222,"iPhone4,1"
0-2924785,"iPod4,1"
0-2925348,"iPhone4,1"
0-2925911,"iPhone3,1"
0-2926474,"iPad2,1"
0-2927037,"iPad2,2"
0-2927600,"iPad3,3"
0-2928163,"iPad3,1"
0-2928726,"iPhone5,2"
0-2929289,"iPhone4,1"
0-2929852,"iPhone5,2"
0-2930415,"iPhone4,1"
0-2930978,"iPad2,2"
0-2931541,"iPhone5,2"
0-2932104,"iPod4,1"
0-2932667,"iPod4,1"
0-2933230,"iPad2,5"
0-2933793,"iPad3,1"
0-2934356,"iPhone5,2"
0-2934919,"iPad1,1"
0-2935482,"iPod4,1"
0-2936184,"iPad3,3"
0-2936748,"iPhone4,1"
0-2937312,"iPhone2,1"
0-2937876,"iPhone4,1"
0-2938440,"iPhone4,1"
0-2939004,"iPhone4,1"
0-2939568,"iPod4,1"
0-2940132,"iPod5,1"
0-2940696,"iPad2,1"
0-2941260,"iPhone4,1"
0-2941824,"iPhone4,1"
0-2942388,"iPad2,4"
0-2942952,"iPad2,1"
0-2943516,"iPad1,1"
0-2944080,"iPad2,4"
0-2944644,"iPhone3,1"
0-2945208,"iPhone3,1"
0-2945772,"iPad2,5"
0-2946336,"iPhone3,1"
0-2946900,"iPhone4,1"
0-2947464,"iPhone3,1"
0-2948028,"iPhone4,1"
0-2948592,"iPhone3,1"
0-2949156,"iPad2,5"
0-2949720,"iPhone5,2"
0-2950284,"iPad2,2"
0-2950848,"iPhone4,1"
0-2951412,"iPad3,3"
0-2951976,"iPad3,4"
0-2952540,"iPhone3,1"
0-2953104,"iPhone5,2"
0-2953668,"iPad2,4"
0-2954232,"iPad2,1"
0-2954796,"iPad3,3"
0-2955360,"iPhone5,2"
0-2955924,"iPad3,1"
0-2956488,"iPad2,5"
0-2957052,"iPod4,1"
0-2957616,"iPhone5,1"
0-2958180,"iPod4,1"
0-2958744,"iPad2,4"
0-2959308,"iPad3,1"
0-2959872,"iPhone4,1"
0-2960436,"iPad2,5"
0-2961165,"iPad2,3"
0-2961730,"iPod4,1"
0-2962295,"iPad2,5"
0-2962860,"iPod4,1"
0-2963425,"iPad2,5"
0-2963990,"iPhone4,1"
0-2964555,"iPod4,1"
0-2965120,"iPod4,1"
0-2965685,"iPad1,1"
0-2966250,"iPod4,1"
0-2966815,"iPod4,1"
0-2967380,"iPad2,2"
0-2967945,"iPad3,1"
0-2968510,"iPad2,4"
0-2969075,"iPhone5,1"
0-2969640,"iPad2,7"
0-2970205,"iPhone3,1"
0-2970770,"iPad3,1"
0-2971335,"iPhone3,1"
0-2971900,"iPod4,1"
0-2972465,"iPhone3,1"
0-2973030,"iPhone4,1"
0-2973595,"iPad3,1"
0-2974160,"iPhone3,1"
0-2974725,"iPad2,5"
0-2975290,"iPhone4,1"
0-2975855,"iPhone5,2"
0-2976420,"iPhone5,2"
0-2976985,"iPad3,4"
0-2977550,"iPhone2,1"
0-2978115,"iPhone4,1"
0-2978680,"iPhone3,1"
0-2979245,"iPhone4,1"
0-2979810,"iPhone5,1"
0-2980375,"iPad2,2"
0-2980940,"iPhone3,1"
0-2981505,"iPhone5,2"
0-2982070,"iPhone5,1"
0-2982635,"iPhone4,1"
0-2983200,"iPad3,6"
0-2983765,"iPhone4,1"
0-2984330,"iPhone5,1"
0-2984895,"iPad1,1"
0-2985460,"iPhone3,1"
0-2986025,"iPhone3,1"
0-2986590,"iPad3,3"
0-2987155,"iPhone4,1"
0-2987720,"iPhone3,1"
0-2988285,"iPad1,1"
0-2988850,"iPad2,1"
0-2989415,"iPad2,1"
0-2989980,"iPhone3,3"
0-2990545,"iPhone3,1"
0-2991110,"iPhone5,2"
0-2991675,"iPad2,1"
0-2991876,"iPad2,4"
0-2992442,"iPad1,1"
0-2993008,"iPad2,1"
0-2993574,"iPad2,5"
0-2994140,"iPad1,1"
0-2994706,"iPad2,4"
0-2995272,"iPhone4,1"
0-2995838,"iPad3,4"
0-2996404,"iPad2,1"
0-2996970,"iPhone3,1"
0-2997536,"iPod3,1"
0-2998102,"iPhone4,1"
0-2998668,"iPhone4,1"
0-2999234,"iPad2,2"
0-2999800,"iPad2,1"
0-3000366,"iPod4,1"
0-3000932,"iPod4,1"
0-3001498,"iPad3,4"
0-3002064,"iPod4,1"
0-3002630,"iPhone4,1"
0-3003196,"iPad3,3"
0-3003762,"iPad1,1"
0-3004328,"iPad2,1"
0-3004894,"iPhone4,1"
0-3005460,"iPad2,5"
0-3006026,"iPhone3,1"
0-3006592,"iPhone3,1"
0-3007158,"iPhone4,1"
0-3007724,"iPad3,4"
0-3008290,"iPhone2,1"
0-3008856,"iPad2,1"
0-3009422,"iPhone4,1"
0-3009988,"iPad2,7"
0-3010554,"iPhone3,1"
0-3011120,"iPod4,1"
0-3011686,"iPhone4,1"
0-3012252,"iPad3,3"
0-3012818,"iPad2,1"
0-3013384,"iPhone4,1"
0-3013950,"iPhone3,3"
0-3014516,"iPad2,1"
0-3015082,"iPhone5,2"
0-3015648,"iPhone3,1"
0-3016214,"iPad2,4"
0-3016780,"iPad2,1"
0-3017346,"iPhone4,1"
0-3017912,"iPad2,2"
0-3018478,"iPod3,1"
0-3019044,"iPod4,1"
0-3019610,"iPod4,1"
0-3020176,"iPhone2,1"
0-3020742,"iPhone4,1"
0-3021308,"iPhone4,1"
0-3021874,"iPhone4,1"
0-3022440,"iPod5,1"
0-3022677,"iPhone3,1"
0-3023244,"iPod4,1"
0-3023811,"iPad3,4"
0-3024378,"iPod4,1"
0-3024945,"iPad3,1"
0-3025512,"iPod4,1"
0-3026079,"iPad3,4"
0-3026646,"iPhåne2,1"
0-3027213,"iPhåne2,1"
0-3027780,"iPhåne2,1"
0-3028347,"iPad2,5"
0-3028914,"iPod5,1"
0-3029481,"iPad2,1"
0-3030048,"iPhone4,1"
0-3030615,"iPhåne2,1"
0-3031182,"iPhone4,1"
0-3031749,"iPhone4,1"
0-3032316,"iPhåne2,1"
0-3032883,"iPhone3,1"
0-3033450,"iPhone5,2"
0-3034017,"iPhone3,1"
0-3034584,"iPad1,1"
0-3035151,"iPhone3,1"
