treatment,company_size,campaign_spend,campaign_budget
FALSE,small,10.4477,3.9035
FALSE,medium,3.7776,1.9872
FALSE,medium,46.188,55.4523
FALSE,small,6.6271,6.5136
FALSE,small,92.3405,83.1018
FALSE,small,180.6259,328.1411
FALSE,large,411.0601,404.3652
FALSE,small,6.4808,5.3393
FALSE,small,20.6899,12.2408
FALSE,medium,28.5898,31.1672
FALSE,small,40.9653,30.6545
FALSE,large,48001.4263,43440.567
FALSE,large,105.8338,88.5289
FALSE,large,12.1176,11.6247
FALSE,small,14.5671,9.9272
FALSE,small,12000.1994,11235.4394
FALSE,small,27.0803,21.1218
FALSE,large,18000.122,14074.9006
FALSE,small,5551.8857,5481.3578
FALSE,medium,41505.0436,27920.3771
FALSE,large,50.718,63.9714
FALSE,small,646899.2462,1293485.015
FALSE,small,60000.3217,54811.2785
FALSE,small,10.6656,2.1331
FALSE,large,220.8881,439.6603
FALSE,large,20951.4313,11714.9379
FALSE,small,13.7335,9.5168
FALSE,medium,116.9713,197.7037
FALSE,large,1248.228,1221.9934
FALSE,small,21.4814,19.6576
FALSE,large,6.1935,1.404
FALSE,large,11.9988,10.3588
FALSE,large,100.989,100.4458
FALSE,small,38.166,29.7857
FALSE,small,5.8557,3.1918
FALSE,small,11.7583,7.2164
FALSE,small,22.7598,18.6689
FALSE,large,87.9884,173.3663
FALSE,small,33.3394,26.4217
FALSE,small,23.3121,22.1206
FALSE,small,20.7071,19.5171
FALSE,large,12000.5362,6689.5052
FALSE,small,180.7474,287.484
FALSE,small,4800.6083,4739.9016
FALSE,large,99.5877,98.587
FALSE,small,10.25,7.0252
FALSE,large,20.1758,13.2225
FALSE,medium,36.3409,32.8012
FALSE,small,27.7327,23.5194
FALSE,small,107.0779,106.0521
FALSE,large,45.7697,52.6877
FALSE,small,24.3708,31.2106
FALSE,large,205.355,165.5495
FALSE,small,16.9977,10.7088
FALSE,large,3.8702,3.0165
FALSE,small,8.2208,7.5762
FALSE,large,38.3558,33.655
FALSE,large,20960.022,9339.478
FALSE,small,4.337,4.0978
FALSE,small,52.3987,44.009
FALSE,medium,37.9234,37.3097
FALSE,small,19.8716,22.6555
FALSE,small,42.037,41.6061
FALSE,medium,300.9199,287.7373
FALSE,small,100.2314,89.1171
FALSE,small,6.4061,5.9197
FALSE,small,7.9239,6.519
FALSE,small,60.2914,50.3564
FALSE,large,218.2651,209.928
FALSE,small,4.3841,4.2005
FALSE,large,97.7633,79.1371
FALSE,large,617.7981,614.1258
FALSE,large,37.0201,36.2971
FALSE,large,87.2718,85.2085
FALSE,large,52.4208,72.635
FALSE,medium,18000.5544,15906.445
FALSE,large,48.879,41.3599
FALSE,small,100.6282,77.5258
FALSE,small,7.5717,5.2982
FALSE,large,370.1566,358.9103
FALSE,small,8.0494,2.4515
FALSE,small,98.5966,112.0355
FALSE,large,5.6893,5.1822
FALSE,large,69.2003,53.5008
FALSE,small,11.5508,11.2329
FALSE,small,9210.5053,4670.1134
FALSE,small,3.9923,3.6338
FALSE,small,21.9412,17.8073
FALSE,small,744.6603,737.8081
FALSE,large,45.6144,86.0943
FALSE,small,720.8005,638.8891
FALSE,small,378.2541,378.2184
FALSE,large,583.1463,570.4994
FALSE,large,79.5587,78.9633
FALSE,small,40.732,21.6496
FALSE,large,77.2125,100.4251
FALSE,small,22.8651,21.7218
FALSE,small,13.4941,9.8505
FALSE,small,5.2194,1.0439
FALSE,small,24.1883,24.1829
FALSE,large,238.2154,349.1098
FALSE,small,5.9114,4.9933
FALSE,small,22.2447,21.4433
FALSE,small,9.4286,3.4495
FALSE,large,16.6718,12.6601
FALSE,large,36.7384,34.9706
FALSE,large,1023.4277,1665.2868
FALSE,large,34.1741,29.6538
FALSE,small,11.032,8.7459
FALSE,large,99.4477,84.9811
FALSE,small,21.3032,35.0666
FALSE,large,370.8575,353.0607
FALSE,small,7.0976,3.892
FALSE,small,35.3014,48.5755
FALSE,medium,39.3676,39.14
FALSE,medium,100.5305,92.3382
FALSE,small,890.9355,775.4779
FALSE,small,1230.4166,637.9789
FALSE,large,400.3815,400.1015
FALSE,large,17.4175,13.5578
FALSE,large,11.8062,8.7428
FALSE,small,12001.8138,13567.6054
FALSE,small,1294.6868,516.9662
FALSE,large,409.6679,395.1538
FALSE,small,28.4812,24.4254
FALSE,small,11.6037,11.2866
FALSE,small,2785.9546,2734.3191
FALSE,small,29.4077,21.8626
FALSE,small,91.4212,91.0831
FALSE,small,407.4736,657.084
FALSE,large,355.9359,348.3664
FALSE,small,57.1758,53.907
FALSE,small,361.1169,109.8227
FALSE,medium,226.072,294.1642
FALSE,large,153816.5734,180228.414
FALSE,small,4.5306,1.9864
FALSE,small,11.8971,9.8369
FALSE,large,122.1343,109.3751
FALSE,small,12.9316,7.0628
FALSE,small,3.7869,1.2155
FALSE,small,48.3431,83.4273
FALSE,medium,1000.9674,960.7588
FALSE,large,34.503,33.4534
FALSE,medium,80.4821,98.8566
FALSE,small,48001.8657,59361.0955
FALSE,large,4353.0149,4336.4531
FALSE,large,18942.8822,8180.6384
FALSE,large,70.7594,59.3
FALSE,large,90607.841,155415.4223
FALSE,large,87.4891,41.5611
FALSE,small,30.6332,24.0987
FALSE,small,30.3201,16.3546
FALSE,small,29.0678,27.9985
FALSE,large,14.57,11.2852
FALSE,large,17.5383,11.5264
FALSE,large,120002.9061,102508.7575
FALSE,large,2.3669,1.6051
FALSE,small,11029.489,10878.6169
FALSE,small,4802.4825,3683.5927
FALSE,small,9080.843,8912.9885
FALSE,small,19202.0017,32756.6659
FALSE,large,388.8693,372.5803
FALSE,small,48000.1967,34990.9938
FALSE,large,13.1459,4.9074
FALSE,small,1565.1879,1360.1631
FALSE,small,99.3608,193.0206
FALSE,small,60.1455,59.1513
FALSE,large,1000.8928,997.6318
FALSE,large,101.2136,100.8953
FALSE,small,324.2112,362.4664
