id,city_name,signup_os,signup_channel,signup_timestamp,bgc_date,vehicle_added_date,vehicle_make,vehicle_model,vehicle_year,first_completed_trip_timestamp
082befb0-c1de-4c14-8700-94a7943a7545,Strark,NA,R2D,2017-07-06T20:42:17Z,NA,2017-07-06T20:42:56Z,Volkswagen,CC,2012,NA
1ae6156f-63fc-40cf-9734-0995978c4b6e,Berton,ios web,Dost,2017-07-03T17:41:07Z,2017-07-03T17:42:06Z,2017-07-03T17:41:14Z,Toyota,4Runner,2003,2017-07-23T00:26:50Z
2a4a4eef-14ef-4ceb-82eb-66f1f7d0d219,Berton,NA,R2D,2017-07-10T22:55:29Z,NA,2017-07-11T17:44:44Z,Hyundai,Elantra,2015,NA
56fe7597-3ad8-4798-8be8-5fbc4e2d3151,Berton,ios web,Referral,2017-07-27T18:27:21Z,2017-07-27T18:31:43Z,2017-07-27T18:31:09Z,Honda,Civic,2017,2017-07-31T04:07:24Z
67370341-68a5-415f-acf2-be58832a8f9c,Wrouver,other,Referral,2017-07-17T22:20:35Z,2017-07-17T22:21:09Z,2017-07-17T22:20:53Z,Honda,Accord,1999,NA
6baded87-3526-4cad-9745-1d48e7e451ec,Berton,ios web,Referral,2017-07-11T23:01:39Z,2017-07-11T23:02:41Z,2017-07-11T23:02:03Z,Chrysler,300,2010,NA
6d5f9955-76fd-4795-b115-676c5265b767,Berton,ios web,Referral,2017-07-13T23:51:56Z,2017-07-13T23:52:52Z,2017-07-13T23:52:09Z,Acura,TL,2002,2017-07-18T15:09:20Z
8348227f-7275-419b-85c1-687828fab699,Berton,NA,R2D,2017-07-28T06:10:22Z,NA,2017-07-28T06:10:46Z,Mazda,Protege,2003,NA
88c42231-e6d4-42fb-90e7-acb111a9162f,Wrouver,android web,Referral,2017-07-08T02:06:13Z,2017-07-08T02:07:34Z,2017-07-08T02:06:48Z,Infiniti,M,2006,2017-07-12T05:24:14Z
e19c8ec7-6b4e-4b27-9ea0-c8c497784aa8,Strark,android web,NA,2017-07-22T03:00:51Z,2017-07-22T03:03:49Z,2017-07-22T03:01:20Z,Toyota,Corolla,2017,NA
f859ccbd-7922-43ce-a2aa-a1da75d72a71,Strark,NA,R2D,NA,NA,2017-07-30T17:41:02Z,Volkswagen,Passat,2012,NA
fd81cab6-0e81-4678-8615-589cd64d49e3,Strark,ios web,Referral,2017-07-10T21:52:32Z,2017-07-10T21:53:22Z,2017-07-10T21:52:44Z,Subaru,Legacy,2014,NA
2f402126-ddde-4e70-ae4b-e94802145d57,Strark,windows,Referral,2017-07-26T18:55:36Z,2017-07-26T18:57:50Z,2017-07-26T18:56:49Z,Ford,Focus,2008,NA
521f5a45-e4b1-4f4d-9088-bdcfbc8728fc,Berton,NA,R2D,NA,NA,2017-07-31T21:17:27Z,Lexus,CT,2016,2017-08-18T21:31:36Z
792ace92-a621-4c08-b742-94a4dc094efa,Berton,ios web,Organic,2017-07-21T19:00:16Z,2017-07-21T19:01:51Z,2017-07-21T19:00:37Z,NA,The Yellow Submarine,2015,2017-07-25T04:22:21Z
79de2f24-2ccb-4741-8313-b8d869bab051,Strark,android web,NA,2017-07-06T04:52:36Z,2017-07-06T04:53:33Z,2017-07-06T04:53:10Z,Honda,Accord,2017,2017-07-29T04:44:10Z
ae406683-0ea9-4bce-82be-b6ded4779a38,Strark,NA,Referral,2017-07-24T19:33:54Z,NA,2017-07-24T19:34:48Z,BMW,X3,2004,2017-08-20T19:04:53Z
ae406683-0ea9-4bce-82be-b6ded4779a38,Strark,NA,Referral,2017-07-24T19:33:54Z,NA,2017-07-24T19:34:48Z,BMW,X3,2004,2017-08-20T19:04:53Z
b9433ce9-2562-470e-938a-4bab8102ceb2,Berton,ios web,Dost,NA,2017-07-09T02:23:42Z,2017-07-09T02:23:21Z,Honda,Accord,2009,2017-07-21T18:37:35Z
cbaf00b2-4d7f-4b0e-8162-5437e49363ba,Strark,android web,Referral,2017-07-08T23:47:31Z,2017-07-08T23:48:40Z,2017-07-08T23:47:54Z,Toyota,RAV4,2017,2017-07-12T20:04:19Z
e0513d05-942c-47d4-8102-2fff5d5307b1,Strark,mac,Organic,2017-07-25T20:41:45Z,2017-07-25T20:42:21Z,NA,Honda,Accord,2017,2017-07-27T22:04:07Z
e0513d05-942c-47d4-8102-2fff5d5307b1,Strark,mac,NA,2017-07-25T20:41:45Z,2017-07-25T20:42:21Z,2017-07-25T20:41:57Z,Honda,Accord,2017,2017-07-27T22:04:07Z
e0513d05-942c-47d4-8102-2fff5d5307b1,Strark,mac,Organic,2017-07-25T20:41:45Z,2017-07-25T20:42:21Z,2017-07-25T20:41:57Z,Honda,Accord,2017,2017-07-27T22:04:07Z
e0513d05-942c-47d4-8102-2fff5d5307b1,Strark,mac,Organic,2017-07-25T20:41:45Z,2017-07-25T20:42:21Z,2017-07-25T20:41:57Z,Honda,Accord,2017,2017-07-27T22:04:07Z
1539f166-a783-44d7-9e7d-ecf48d98b84b,Strark,NA,NA,2017-07-31T00:33:44Z,2017-07-31T00:34:52Z,2017-07-31T00:34:01Z,Chrysler,PT Cruiser,2008,NA
2f150648-07f8-4df8-9da2-4f58e22b9897,Berton,NA,Referral,2017-07-31T02:05:45Z,2017-07-31T02:06:56Z,2017-07-31T02:06:14Z,Lexus,ES,2017,2017-08-19T04:45:09Z
2f4edcf0-177e-48a6-8084-ac7a6665152c,Strark,android web,Referral,2017-07-13T04:35:12Z,2017-07-13T04:35:45Z,2017-07-13T04:35:28Z,Audi,Q3,2015,NA
83379aed-0c39-4580-aac5-bb10b53066e0,Berton,NA,R2D,2017-07-25T00:23:46Z,NA,2017-07-25T00:24:01Z,Ford,Fiesta,2013,2017-07-30T03:46:31Z
