campaign,date,spend,impressions,actions
fish_cow_desert,1/1/15,10.98,1621,"[{""y"": 47, ""action"": ""conversions""}, {""action"": ""conversions"", ""b"": 49}, {""action"": ""conversions"", ""z"": 29}, {""a"": 69, ""action"": ""conversions""}, {""action"": ""conversions"", ""x"": 81}]"
fish_cow_desert,1/2/15,30.28,4943,"[{""action"": ""views"", ""b"": 90}, {""y"": 12, ""action"": ""views""}, {""a"": 78, ""action"": ""views""}, {""action"": ""views"", ""c"": 74}, {""action"": ""views"", ""x"": 14}, {""action"": ""views"", ""z"": 19}]"
fish_cow_desert,1/3/15,13.57,2245,"[{""action"": ""conversions"", ""b"": 85}, {""action"": ""conversions"", ""x"": 73}, {""action"": ""conversions"", ""c"": 50}]"
fish_cow_desert,1/4/15,38.01,6169,"[{""action"": ""clicks"", ""c"": 71}, {""action"": ""clicks"", ""z"": 66}, {""action"": ""clicks"", ""x"": 16}, {""action"": ""clicks"", ""b"": 38}, {""y"": 67, ""action"": ""clicks""}, {""a"": 80, ""action"": ""clicks""}, {""action"": ""conversions"", ""b"": 27}, {""action"": ""conversions"", ""x"": 8}, {""y"": 12, ""action"": ""conversions""}, {""action"": ""conversions"", ""z"": 47}, {""action"": ""conversions"", ""c"": 90}]"
fish_cow_desert,1/5/15,2.31,323,"[{""y"": 51, ""action"": ""conversions""}, {""action"": ""clicks"", ""c"": 88}, {""action"": ""clicks"", ""z"": 77}]"
fish_cow_desert,1/6/15,33.31,4013,"[{""a"": 24, ""action"": ""conversions""}, {""action"": ""conversions"", ""x"": 54}, {""action"": ""conversions"", ""b"": 1}, {""y"": 89, ""action"": ""conversions""}, {""action"": ""clicks"", ""x"": 37}, {""action"": ""clicks"", ""b"": 75}, {""action"": ""views"", ""x"": 2}, {""a"": 68, ""action"": ""views""}, {""y"": 25, ""action"": ""views""}, {""action"": ""views"", ""z"": 4}]"
fish_cow_desert,1/7/15,41.45,7052,"[{""action"": ""views"", ""c"": 35}, {""action"": ""views"", ""z"": 85}, {""action"": ""views"", ""x"": 98}]"
fish_cow_desert,1/8/15,39.2,4891,"[{""y"": 79, ""action"": ""conversions""}, {""action"": ""clicks"", ""c"": 52}, {""action"": ""clicks"", ""z"": 10}, {""a"": 33, ""action"": ""views""}]"
fish_cow_desert,1/9/15,36.83,5070,"[{""action"": ""views"", ""c"": 42}, {""y"": 50, ""action"": ""views""}, {""action"": ""views"", ""b"": 3}, {""action"": ""clicks"", ""b"": 29}, {""action"": ""clicks"", ""x"": 46}, {""action"": ""clicks"", ""z"": 11}, {""y"": 18, ""action"": ""clicks""}, {""action"": ""clicks"", ""c"": 29}, {""a"": 96, ""action"": ""clicks""}]"
fish_cow_desert,1/10/15,10.55,1339,"[{""action"": ""clicks"", ""b"": 28}, {""action"": ""clicks"", ""c"": 90}, {""y"": 47, ""action"": ""clicks""}, {""action"": ""clicks"", ""z"": 80}, {""action"": ""clicks"", ""x"": 90}, {""action"": ""views"", ""z"": 91}, {""action"": ""views"", ""x"": 84}, {""y"": 55, ""action"": ""views""}, {""action"": ""views"", ""b"": 74}, {""a"": 36, ""action"": ""views""}, {""action"": ""views"", ""c"": 71}]"
fish_cow_desert,1/11/15,33.18,5058,"[{""action"": ""views"", ""x"": 21}, {""y"": 75, ""action"": ""views""}, {""action"": ""views"", ""c"": 57}, {""action"": ""views"", ""z"": 88}, {""action"": ""clicks"", ""z"": 60}, {""y"": 54, ""action"": ""clicks""}, {""action"": ""clicks"", ""b"": 2}]"
fish_cow_desert,1/12/15,65.34,9598,"[{""action"": ""views"", ""z"": 76}, {""a"": 9, ""action"": ""views""}, {""action"": ""views"", ""x"": 51}, {""action"": ""views"", ""c"": 88}, {""action"": ""views"", ""b"": 28}, {""y"": 75, ""action"": ""views""}, {""a"": 6, ""action"": ""clicks""}]"
fish_cow_desert,1/13/15,60.96,7691,"[{""y"": 60, ""action"": ""views""}, {""action"": ""views"", ""x"": 5}, {""action"": ""clicks"", ""x"": 31}, {""y"": 80, ""action"": ""clicks""}, {""action"": ""clicks"", ""c"": 76}, {""action"": ""clicks"", ""b"": 2}]"
fish_cow_desert,1/14/15,47.75,7792,"[{""y"": 73, ""action"": ""clicks""}, {""action"": ""clicks"", ""x"": 100}, {""a"": 67, ""action"": ""clicks""}, {""action"": ""clicks"", ""z"": 74}]"
fish_cow_desert,1/15/15,15.22,1691,"[{""y"": 25, ""action"": ""views""}, {""action"": ""views"", ""z"": 47}, {""action"": ""views"", ""b"": 94}, {""action"": ""views"", ""x"": 62}, {""a"": 21, ""action"": ""views""}, {""action"": ""views"", ""c"": 78}]"
fish_cow_desert,1/16/15,49.74,9403,"[{""y"": 65, ""action"": ""conversions""}, {""action"": ""conversions"", ""x"": 66}, {""action"": ""views"", ""x"": 55}]"
fish_cow_desert,1/17/15,30.75,4691,"[{""action"": ""clicks"", ""x"": 92}, {""action"": ""clicks"", ""c"": 87}, {""action"": ""clicks"", ""b"": 89}]"
fish_cow_desert,1/18/15,50.06,6562,"[{""action"": ""clicks"", ""z"": 88}]"
fish_cow_desert,1/19/15,29.91,3286,"[{""a"": 33, ""action"": ""clicks""}, {""action"": ""clicks"", ""x"": 18}, {""y"": 80, ""action"": ""clicks""}, {""action"": ""clicks"", ""c"": 28}, {""action"": ""views"", ""z"": 5}, {""action"": ""views"", ""x"": 23}, {""a"": 70, ""action"": ""views""}, {""action"": ""views"", ""b"": 34}, {""y"": 45, ""action"": ""views""}, {""action"": ""views"", ""c"": 97}, {""action"": ""conversions"", ""c"": 20}, {""action"": ""conversions"", ""z"": 32}]"
fish_cow_desert,1/20/15,6.73,1060,"[{""action"": ""clicks"", ""x"": 9}, {""action"": ""clicks"", ""z"": 50}, {""a"": 69, ""action"": ""clicks""}]"
fish_cow_desert,1/21/15,64.41,9956,"[{""action"": ""clicks"", ""c"": 84}, {""action"": ""clicks"", ""x"": 6}, {""y"": 90, ""action"": ""clicks""}, {""action"": ""views"", ""c"": 15}]"
fish_cow_desert,1/22/15,24.63,2680,"[{""action"": ""conversions"", ""b"": 51}, {""a"": 31, ""action"": ""conversions""}, {""action"": ""conversions"", ""x"": 30}]"
fish_cow_desert,1/23/15,26.78,4570,"[{""y"": 99, ""action"": ""views""}, {""action"": ""views"", ""c"": 45}, {""action"": ""views"", ""z"": 96}, {""action"": ""conversions"", ""x"": 28}, {""action"": ""conversions"", ""c"": 59}, {""action"": ""conversions"", ""z"": 4}, {""a"": 24, ""action"": ""conversions""}, {""y"": 94, ""action"": ""conversions""}]"
fish_cow_desert,1/24/15,45.26,5080,"[{""action"": ""conversions"", ""z"": 92}, {""y"": 96, ""action"": ""conversions""}, {""action"": ""conversions"", ""c"": 69}, {""action"": ""views"", ""b"": 83}, {""y"": 75, ""action"": ""views""}, {""action"": ""views"", ""x"": 20}, {""a"": 46, ""action"": ""views""}, {""action"": ""clicks"", ""x"": 20}, {""a"": 60, ""action"": ""clicks""}, {""action"": ""clicks"", ""b"": 63}, {""action"": ""clicks"", ""z"": 32}, {""y"": 32, ""action"": ""clicks""}, {""action"": ""clicks"", ""c"": 24}]"
fish_cow_desert,1/25/15,38.16,4406,"[{""action"": ""views"", ""z"": 44}, {""action"": ""clicks"", ""z"": 31}]"
fish_cow_desert,1/26/15,11.11,2169,"[{""action"": ""views"", ""z"": 64}, {""action"": ""views"", ""b"": 19}]"
fish_cow_desert,1/27/15,26.3,4620,"[{""y"": 46, ""action"": ""conversions""}, {""action"": ""conversions"", ""c"": 16}, {""a"": 63, ""action"": ""conversions""}, {""action"": ""conversions"", ""b"": 13}]"
fish_cow_desert,1/28/15,40.39,6612,"[{""a"": 5, ""action"": ""views""}, {""y"": 85, ""action"": ""views""}, {""action"": ""views"", ""c"": 23}, {""action"": ""views"", ""z"": 1}, {""action"": ""views"", ""x"": 61}, {""action"": ""conversions"", ""z"": 73}, {""action"": ""conversions"", ""x"": 76}]"
fish_cow_desert,1/29/15,15.75,2742,"[{""a"": 6, ""action"": ""views""}, {""y"": 79, ""action"": ""views""}, {""action"": ""views"", ""z"": 57}, {""action"": ""views"", ""b"": 80}]"
fish_cow_desert,1/30/15,14.23,1652,"[{""action"": ""conversions"", ""z"": 58}, {""action"": ""conversions"", ""b"": 84}, {""y"": 73, ""action"": ""clicks""}, {""a"": 39, ""action"": ""clicks""}, {""action"": ""clicks"", ""c"": 12}, {""action"": ""clicks"", ""b"": 45}, {""action"": ""clicks"", ""x"": 4}, {""action"": ""clicks"", ""z"": 37}]"
fish_cow_desert,1/31/15,78.34,7877,"[{""action"": ""conversions"", ""b"": 79}, {""action"": ""conversions"", ""z"": 89}, {""action"": ""conversions"", ""x"": 63}, {""action"": ""conversions"", ""c"": 27}, {""a"": 54, ""action"": ""views""}, {""action"": ""views"", ""x"": 37}, {""action"": ""views"", ""c"": 43}, {""action"": ""views"", ""z"": 27}, {""y"": 3, ""action"": ""views""}, {""action"": ""views"", ""b"": 4}]"
fish_cow_desert,2/1/15,50.57,6812,"[{""action"": ""clicks"", ""b"": 35}, {""action"": ""clicks"", ""x"": 89}, {""action"": ""clicks"", ""z"": 10}, {""y"": 79, ""action"": ""clicks""}, {""action"": ""clicks"", ""c"": 25}, {""a"": 35, ""action"": ""clicks""}, {""action"": ""views"", ""b"": 22}, {""action"": ""views"", ""c"": 74}, {""action"": ""views"", ""z"": 29}]"
fish_cow_desert,2/2/15,64.28,7383,"[{""action"": ""views"", ""c"": 91}, {""a"": 59, ""action"": ""views""}, {""action"": ""views"", ""z"": 95}, {""y"": 79, ""action"": ""views""}, {""y"": 17, ""action"": ""clicks""}, {""action"": ""clicks"", ""x"": 25}, {""action"": ""clicks"", ""c"": 7}, {""action"": ""clicks"", ""z"": 87}, {""action"": ""clicks"", ""b"": 83}, {""a"": 85, ""action"": ""clicks""}, {""action"": ""conversions"", ""x"": 9}, {""action"": ""conversions"", ""b"": 62}, {""y"": 99, ""action"": ""conversions""}, {""a"": 12, ""action"": ""conversions""}]"
fish_cow_desert,2/3/15,73.96,9547,"[{""y"": 57, ""action"": ""conversions""}, {""a"": 95, ""action"": ""conversions""}, {""action"": ""conversions"", ""z"": 99}, {""action"": ""conversions"", ""c"": 78}, {""action"": ""conversions"", ""b"": 80}, {""action"": ""conversions"", ""x"": 13}]"
fish_cow_desert,2/4/15,0.57,86,"[{""y"": 26, ""action"": ""conversions""}, {""a"": 86, ""action"": ""conversions""}, {""action"": ""conversions"", ""c"": 60}, {""action"": ""conversions"", ""z"": 85}]"
fish_cow_desert,2/5/15,36.58,4863,"[{""a"": 66, ""action"": ""views""}, {""y"": 11, ""action"": ""views""}, {""action"": ""views"", ""x"": 9}, {""action"": ""views"", ""b"": 64}, {""action"": ""views"", ""c"": 49}, {""action"": ""views"", ""z"": 98}]"
fish_cow_desert,2/6/15,88.44,9701,"[{""y"": 30, ""action"": ""views""}, {""action"": ""views"", ""b"": 86}, {""action"": ""views"", ""x"": 23}, {""action"": ""views"", ""z"": 70}, {""action"": ""views"", ""c"": 24}, {""y"": 78, ""action"": ""clicks""}, {""a"": 17, ""action"": ""clicks""}, {""action"": ""conversions"", ""z"": 52}, {""y"": 85, ""action"": ""conversions""}, {""action"": ""conversions"", ""b"": 35}]"
fish_cow_desert,2/7/15,32.4,3877,"[{""action"": ""conversions"", ""c"": 53}, {""action"": ""clicks"", ""z"": 96}, {""action"": ""clicks"", ""b"": 11}, {""action"": ""clicks"", ""c"": 60}, {""a"": 89, ""action"": ""clicks""}, {""action"": ""views"", ""z"": 84}, {""y"": 20, ""action"": ""views""}, {""action"": ""views"", ""b"": 32}, {""action"": ""views"", ""c"": 43}, {""action"": ""views"", ""x"": 5}, {""a"": 4, ""action"": ""views""}]"
fish_cow_desert,2/8/15,24.62,2465,"[{""action"": ""views"", ""b"": 82}, {""action"": ""views"", ""c"": 85}, {""action"": ""views"", ""z"": 42}, {""y"": 92, ""action"": ""views""}, {""action"": ""views"", ""x"": 82}, {""y"": 14, ""action"": ""conversions""}, {""action"": ""conversions"", ""b"": 74}, {""action"": ""conversions"", ""c"": 11}, {""action"": ""clicks"", ""z"": 3}]"
fish_cow_desert,2/9/15,38.38,6935,"[{""a"": 32, ""action"": ""clicks""}, {""action"": ""clicks"", ""b"": 86}, {""action"": ""clicks"", ""z"": 32}, {""action"": ""clicks"", ""x"": 8}, {""action"": ""clicks"", ""c"": 4}, {""y"": 15, ""action"": ""clicks""}, {""action"": ""conversions"", ""b"": 30}, {""action"": ""conversions"", ""x"": 61}, {""action"": ""conversions"", ""z"": 14}, {""a"": 14, ""action"": ""conversions""}]"
fish_cow_desert,2/10/15,55.1,8990,"[{""action"": ""clicks"", ""c"": 57}, {""action"": ""clicks"", ""x"": 25}, {""y"": 7, ""action"": ""clicks""}, {""action"": ""clicks"", ""z"": 20}, {""action"": ""views"", ""z"": 55}, {""y"": 45, ""action"": ""views""}, {""action"": ""views"", ""x"": 43}]"
fish_cow_desert,2/11/15,35.06,4508,"[{""a"": 69, ""action"": ""conversions""}, {""y"": 74, ""action"": ""conversions""}, {""action"": ""conversions"", ""x"": 10}, {""action"": ""conversions"", ""b"": 37}, {""action"": ""conversions"", ""z"": 27}, {""action"": ""conversions"", ""c"": 65}]"
fish_cow_desert,2/12/15,18.58,1887,"[{""action"": ""conversions"", ""c"": 78}, {""a"": 80, ""action"": ""conversions""}, {""y"": 64, ""action"": ""views""}]"
fish_cow_desert,2/13/15,11.95,1713,"[{""y"": 89, ""action"": ""clicks""}, {""a"": 20, ""action"": ""clicks""}, {""action"": ""clicks"", ""c"": 30}, {""action"": ""clicks"", ""x"": 23}, {""action"": ""conversions"", ""c"": 44}, {""a"": 36, ""action"": ""conversions""}, {""action"": ""conversions"", ""b"": 10}, {""y"": 92, ""action"": ""conversions""}, {""action"": ""conversions"", ""x"": 22}]"
