campaign,object_type
valley_monkey_fruit,photo
mountains_fruit_dog,video
mountains_cow_vegtables,video
fruit_desert_monkey,photo
desert_cow_meat,photo
desert_dog_fruit,photo
valley_lion_vegtables,photo
fish_plains_lion,photo
mountains_meat_cow,video
jungle_dog_plants,photo
plants_lion_valley,photo
plains_lion_plants,photo
fish_jungle_snake,photo
valley_cow_fish,video
valley_snake_meat,photo
plants_jungle_lion,photo
vegtables_mountains_dog,photo
desert_meat_snake,photo
desert_snake_vegtables,photo
mountains_snake_meat,photo
dog_plains_plants,photo
jungle_fruit_snake,photo
valley_snake_fruit,video
monkey_jungle_meat,photo
vegtables_valley_cow,video
monkey_jungle_fruit,video
dog_vegtables_valley,video
plants_monkey_mountains,photo
jungle_cow_fish,photo
dog_plains_fish,photo
fruit_cow_mountains,video
monkey_plains_fish,photo
meat_monkey_desert,video
dog_mountains_meat,photo
desert_meat_lion,photo
snake_plants_desert,video
vegtables_desert_monkey,video
plains_vegtables_dog,video
vegtables_jungle_lion,video
plains_vegtables_monkey,video
fish_desert_lion,video
plains_cow_plants,photo
monkey_meat_mountains,video
jungle_fruit_cow,video
jungle_dog_meat,video
dog_fish_desert,video
snake_plains_fish,video
jungle_vegtables_cow,video
cow_plants_desert,photo
vegtables_snake_mountains,photo
valley_vegtables_monkey,video
plants_lion_desert,video
fruit_mountains_snake,photo
meat_lion_plains,video
lion_mountains_fruit,photo
meat_jungle_snake,video
snake_plants_plains,video
vegtables_lion_mountains,photo
vegtables_jungle_dog,photo
plants_monkey_desert,video
monkey_plants_jungle,photo
lion_fruit_valley,photo
mountains_vegtables_monkey,video
dog_fish_valley,video
snake_fish_valley,photo
plains_monkey_fruit,video
monkey_valley_fish,photo
monkey_jungle_fish,photo
lion_valley_meat,video
lion_plains_vegtables,video
valley_fruit_cow,video
plains_fruit_dog,video
lion_plains_fruit,video
jungle_vegtables_monkey,photo
jungle_plants_cow,photo
desert_lion_fruit,photo
valley_lion_fish,video
meat_plains_dog,video
lion_jungle_fruit,video
dog_mountains_fish,video
lion_meat_mountains,video
cow_vegtables_desert,video
desert_fish_snake,video
fish_cow_desert,photo
jungle_plants_snake,video
meat_plains_monkey,photo
snake_fish_mountains,video
monkey_mountains_fruit,photo
fish_cow_mountains,video
fruit_plains_cow,video
dog_plants_desert,video
dog_fruit_valley,video
plains_fruit_snake,photo
snake_valley_plants,photo
vegtables_dog_desert,video
desert_monkey_fish,video
plains_plants_monkey,photo
plants_snake_mountains,video
lion_jungle_fish,video
lion_meat_jungle,photo
mountains_lion_plants,photo
desert_snake_fruit,video
desert_vegtables_lion,photo
valley_cow_plants,video
vegtables_snake_valley,video
dog_desert_meat,video
fish_dog_jungle,video
vegtables_cow_plains,photo
monkey_meat_valley,video
cow_jungle_meat,photo
dog_plants_valley,photo
dog_meat_valley,video
plains_meat_snake,video
monkey_mountains_fish,photo
jungle_vegtables_snake,video
plains_cow_meat,photo
cow_plains_fish,video
plants_valley_monkey,photo
plains_vegtables_snake,photo
meat_valley_cow,video
lion_mountains_fish,photo
dog_fruit_jungle,video
dog_plants_mountains,video
cow_mountains_plants,video
fruit_cow_desert,photo
valley_monkey_fruit,photo
mountains_fruit_dog,video
mountains_cow_vegtables,video
fruit_desert_monkey,photo
desert_cow_meat,photo
desert_dog_fruit,photo
valley_lion_vegtables,photo
fish_plains_lion,photo
mountains_meat_cow,video
jungle_dog_plants,photo
plants_lion_valley,photo
plains_lion_plants,photo
fish_jungle_snake,photo
valley_cow_fish,video
valley_snake_meat,photo
plants_jungle_lion,photo
vegtables_mountains_dog,photo
desert_meat_snake,photo
desert_snake_vegtables,photo
mountains_snake_meat,photo
dog_plains_plants,photo
jungle_fruit_snake,photo
valley_snake_fruit,video
monkey_jungle_meat,photo
vegtables_valley_cow,video
monkey_jungle_fruit,video
dog_vegtables_valley,video
plants_monkey_mountains,photo
jungle_cow_fish,photo
dog_plains_fish,photo
fruit_cow_mountains,video
monkey_plains_fish,photo
meat_monkey_desert,video
dog_mountains_meat,photo
desert_meat_lion,photo
snake_plants_desert,video
vegtables_desert_monkey,video
plains_vegtables_dog,video
vegtables_jungle_lion,video
plains_vegtables_monkey,video
fish_desert_lion,video
plains_cow_plants,photo
monkey_meat_mountains,video
jungle_fruit_cow,video
jungle_dog_meat,video
dog_fish_desert,video
snake_plains_fish,video
jungle_vegtables_cow,video
cow_plants_desert,photo
vegtables_snake_mountains,photo
valley_vegtables_monkey,video
plants_lion_desert,video
fruit_mountains_snake,photo
meat_lion_plains,video
lion_mountains_fruit,photo
meat_jungle_snake,video
snake_plants_plains,video
vegtables_lion_mountains,photo
vegtables_jungle_dog,photo
plants_monkey_desert,video
monkey_plants_jungle,photo
lion_fruit_valley,photo
mountains_vegtables_monkey,video
dog_fish_valley,video
snake_fish_valley,photo
plains_monkey_fruit,video
monkey_valley_fish,photo
monkey_jungle_fish,photo
lion_valley_meat,video
lion_plains_vegtables,video
valley_fruit_cow,video
plains_fruit_dog,video
lion_plains_fruit,video
jungle_vegtables_monkey,photo
jungle_plants_cow,photo
desert_lion_fruit,photo
valley_lion_fish,video
meat_plains_dog,video
lion_jungle_fruit,video
dog_mountains_fish,video
lion_meat_mountains,video
cow_vegtables_desert,video
desert_fish_snake,video
fish_cow_desert,photo
jungle_plants_snake,video
meat_plains_monkey,photo
snake_fish_mountains,video
monkey_mountains_fruit,photo
fish_cow_mountains,video
fruit_plains_cow,video
dog_plants_desert,video
dog_fruit_valley,video
plains_fruit_snake,photo
snake_valley_plants,photo
vegtables_dog_desert,video
desert_monkey_fish,video
plains_plants_monkey,photo
plants_snake_mountains,video
lion_jungle_fish,video
lion_meat_jungle,photo
mountains_lion_plants,photo
desert_snake_fruit,video
desert_vegtables_lion,photo
valley_cow_plants,video
vegtables_snake_valley,video
dog_desert_meat,video
fish_dog_jungle,video
vegtables_cow_plains,photo
monkey_meat_valley,video
cow_jungle_meat,photo
dog_plants_valley,photo
dog_meat_valley,video
plains_meat_snake,video
monkey_mountains_fish,photo
jungle_vegtables_snake,video
plains_cow_meat,photo
cow_plains_fish,video
plants_valley_monkey,photo
plains_vegtables_snake,photo
meat_valley_cow,video
lion_mountains_fish,photo
dog_fruit_jungle,video
dog_plants_mountains,video
cow_mountains_plants,video
fruit_cow_desert,photo
