datecreated,SubtotalExTax,bottles,prem,user_trans,AttributedSource,InstalledAt
12/12/2016,269.7,6,0,FB10E3EF-B8A0-471A-9407-44F92CA578F9,adcolony,9/22/2016
11/5/2017,129.96,4,0,64AF6BBB-EE7E-42F9-8D0D-36BCA0364887,drawbridge,11/25/2017
11/23/2017,159.94,6,0,64AF6BBB-EE7E-42F9-8D0D-36BCA0364887,drawbridge,11/25/2017
6/20/2017,152.94,7,0,2D2FA876-7267-4E6A-8B72-96E03C4980B9,email,5/29/2017
9/5/2017,125.04,7,0,2D2FA876-7267-4E6A-8B72-96E03C4980B9,email,5/29/2017
10/28/2017,179.94,6,0,2D2FA876-7267-4E6A-8B72-96E03C4980B9,email,5/29/2017
11/21/2017,277.41,12,0,2D2FA876-7267-4E6A-8B72-96E03C4980B9,email,5/29/2017
11/21/2017,277.41,12,0,2D2FA876-7267-4E6A-8B72-96E03C4980B9,email,5/29/2017
12/7/2017,87.96,4,1,2D2FA876-7267-4E6A-8B72-96E03C4980B9,email,5/29/2017
1/6/2018,111.96,4,1,2D2FA876-7267-4E6A-8B72-96E03C4980B9,email,5/29/2017
1/17/2018,140.94,6,1,2D2FA876-7267-4E6A-8B72-96E03C4980B9,email,5/29/2017
1/24/2018,37.98,2,1,2D2FA876-7267-4E6A-8B72-96E03C4980B9,email,5/29/2017
1/26/2018,179.94,6,1,2D2FA876-7267-4E6A-8B72-96E03C4980B9,email,5/29/2017
2/25/2018,221.94,6,1,2D2FA876-7267-4E6A-8B72-96E03C4980B9,email,5/29/2017
3/5/2018,113.94,6,1,2D2FA876-7267-4E6A-8B72-96E03C4980B9,email,5/29/2017
3/11/2018,118.74,6,1,2D2FA876-7267-4E6A-8B72-96E03C4980B9,email,5/29/2017
3/18/2018,131.96,4,1,2D2FA876-7267-4E6A-8B72-96E03C4980B9,email,5/29/2017
1/27/2017,212.85,12,0,6F6E5F82-97A5-42CD-9EFC-2FD3A30798CC,facebook,2/26/2016
4/26/2016,71.96,4,0,0D24CAF2-8557-4949-B167-9E2F04AF0B98,facebook,2/11/2016
6/15/2016,63.96,4,0,0D24CAF2-8557-4949-B167-9E2F04AF0B98,facebook,2/11/2016
